parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
176,7812.2,8,563,32,solrj,rf4_s4__
256,7707.6,12,975,32,solrj,rf4_s4__
16,5609.53,3,14,32,solrj,rf4_s4__
336,7363.93,15,1522,32,solrj,rf4_s4__
416,7465.53,28,1774,32,solrj,rf4_s4__
496,6319.13,44,2765,32,solrj,rf4_s4__
576,6501.93,56,2757,32,solrj,rf4_s4__
656,6858.8,84,3002,32,solrj,rf4_s4__
736,6372.0,98,2735,32,solrj,rf4_s4__
96,8494.13,6,204,32,solrj,rf4_s4__
