parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP
1408,3390.1,332,1381,2,solrj,rf4_s4__,42
1536,3466.9,394,1070,2,solrj,rf4_s4__,42
256,2492.6,64,518,2,solrj,rf4_s4__,42
384,3102.1,80,518,2,solrj,rf4_s4__,42
512,3380.6,100,592,2,solrj,rf4_s4__,42
640,3647.2,73,851,2,solrj,rf4_s4__,42
768,3584.3,143,959,2,solrj,rf4_s4__,42
896,3585.6,169,1157,2,solrj,rf4_s4__,42
1024,145221.5,2,23,4,solrj,rf8_s1__,12
1152,152460.6,2,29,4,solrj,rf8_s1__,12
1280,150799.9,2,34,4,solrj,rf8_s1__,12
128,15796.7,1,19,4,solrj,rf8_s1__,12
1408,154779.4,1,36,4,solrj,rf8_s1__,12
1536,143320.4,2,50,4,solrj,rf8_s1__,12
256,45339.1,1,18,4,solrj,rf8_s1__,12
384,67412.9,1,18,4,solrj,rf8_s1__,12
512,80843.9,1,18,4,solrj,rf8_s1__,12
640,93752.8,1,17,4,solrj,rf8_s1__,12
768,134867.4,2,16,4,solrj,rf8_s1__,12
896,141189.4,2,17,4,solrj,rf8_s1__,12
1024,3491.0,2313,2258,4,solrj,rf8_s2__,22
1152,3482.6,1666,1904,4,solrj,rf8_s2__,22
1280,3442.5,1943,1656,4,solrj,rf8_s2__,22
128,3597.6,16,223,4,solrj,rf8_s2__,22
1408,3418.2,1512,1637,4,solrj,rf8_s2__,22
1536,3438.7,1860,1837,4,solrj,rf8_s2__,22
256,6097.2,13,325,4,solrj,rf8_s2__,22
384,6343.1,19,411,4,solrj,rf8_s2__,22
512,8500.6,22,320,4,solrj,rf8_s2__,22
640,9712.2,31,289,4,solrj,rf8_s2__,22
768,2774.3,185,1403,4,solrj,rf8_s2__,22
896,2958.1,844,1006,4,solrj,rf8_s2__,22
1024,1607.5,1750,2000,4,solrj,rf8_s4__,42
1152,2632.8,1291,2402,4,solrj,rf8_s4__,42
1280,2761.0,396,1203,4,solrj,rf8_s4__,42
128,1923.3,28,381,4,solrj,rf8_s4__,42
1408,2842.7,451,1069,4,solrj,rf8_s4__,42
1536,2794.0,529,707,4,solrj,rf8_s4__,42
256,3412.1,29,417,4,solrj,rf8_s4__,42
384,4050.9,41,464,4,solrj,rf8_s4__,42
512,4930.8,51,445,4,solrj,rf8_s4__,42
640,5684.6,52,482,4,solrj,rf8_s4__,42
768,1337.4,399,853,4,solrj,rf8_s4__,42
896,1535.2,1826,2275,4,solrj,rf8_s4__,42
