parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP
256,27454.1,16,40,2,solrj,rf4_s1__,12
32,3719.9,18,35,2,solrj,rf4_s1__,12
48,7498.9,12,26,2,solrj,rf4_s1__,12
64,7334.4,17,36,2,solrj,rf4_s1__,12
80,11300.6,13,31,2,solrj,rf4_s1__,12
96,12098.9,15,36,2,solrj,rf4_s1__,12
112,7425.5,24,109,2,solrj,rf4_s2__,22
128,7522.6,28,121,2,solrj,rf4_s2__,22
144,7640.2,31,130,2,solrj,rf4_s2__,22
160,7523.2,35,142,2,solrj,rf4_s2__,22
16,2542.1,7,28,2,solrj,rf4_s2__,22
176,7667.7,38,146,2,solrj,rf4_s2__,22
192,7663.9,42,162,2,solrj,rf4_s2__,22
208,7650.8,48,165,2,solrj,rf4_s2__,22
224,7637.4,53,175,2,solrj,rf4_s2__,22
240,7519.6,53,187,2,solrj,rf4_s2__,22
256,7630.4,57,201,2,solrj,rf4_s2__,22
32,3978.8,9,26,2,solrj,rf4_s2__,22
48,6137.3,10,28,2,solrj,rf4_s2__,22
64,6735.7,13,50,2,solrj,rf4_s2__,22
80,7349.8,17,78,2,solrj,rf4_s2__,22
96,7894.5,21,96,2,solrj,rf4_s2__,22
112,24358.4,6,25,2,solrj,rf4_s4__,42
128,24383.8,7,29,2,solrj,rf4_s4__,42
144,30133.6,7,25,2,solrj,rf4_s4__,42
160,30175.8,8,28,2,solrj,rf4_s4__,42
16,6126.8,4,11,2,solrj,rf4_s4__,42
176,35744.7,7,26,2,solrj,rf4_s4__,42
192,35941.6,8,28,2,solrj,rf4_s4__,42
208,41610.6,8,25,2,solrj,rf4_s4__,42
224,41927.8,8,27,2,solrj,rf4_s4__,42
240,47810.3,8,25,2,solrj,rf4_s4__,42
256,47736.3,9,27,2,solrj,rf4_s4__,42
32,6226.4,9,23,2,solrj,rf4_s4__,42
48,11934.5,7,18,2,solrj,rf4_s4__,42
64,11996.4,9,24,2,solrj,rf4_s4__,42
80,18179.6,5,26,2,solrj,rf4_s4__,42
96,18394.9,6,30,2,solrj,rf4_s4__,42
112,16806.5,9,33,4,solrj,rf8_s1__,12
128,17356.3,10,37,4,solrj,rf8_s1__,12
144,20263.4,11,35,4,solrj,rf8_s1__,12
160,20678.7,11,38,4,solrj,rf8_s1__,12
16,5034.7,5,13,4,solrj,rf8_s1__,12
176,23503.8,11,36,4,solrj,rf8_s1__,12
192,24838.4,11,38,4,solrj,rf8_s1__,12
208,29868.3,11,36,4,solrj,rf8_s1__,12
224,31859.8,11,38,4,solrj,rf8_s1__,12
240,37003.9,10,35,4,solrj,rf8_s1__,12
256,37072.5,11,36,4,solrj,rf8_s1__,12
32,4645.1,11,30,4,solrj,rf8_s1__,12
48,9366.1,9,23,4,solrj,rf8_s1__,12
64,8736.0,11,32,4,solrj,rf8_s1__,12
80,12908.5,10,35,4,solrj,rf8_s1__,12
96,13627.5,10,36,4,solrj,rf8_s1__,12
112,11962.6,11,93,4,solrj,rf8_s2__,22
128,11740.4,12,100,4,solrj,rf8_s2__,22
144,12089.6,13,107,4,solrj,rf8_s2__,22
160,12084.4,14,114,4,solrj,rf8_s2__,22
16,3486.4,4,19,4,solrj,rf8_s2__,22
176,12164.2,16,123,4,solrj,rf8_s2__,22
192,12815.4,16,123,4,solrj,rf8_s2__,22
208,11943.3,18,139,4,solrj,rf8_s2__,22
224,12496.2,20,144,4,solrj,rf8_s2__,22
240,12503.4,23,144,4,solrj,rf8_s2__,22
256,12440.5,24,154,4,solrj,rf8_s2__,22
32,3826.8,10,28,4,solrj,rf8_s2__,22
48,6468.5,6,39,4,solrj,rf8_s2__,22
64,7999.7,8,39,4,solrj,rf8_s2__,22
80,9683.7,9,77,4,solrj,rf8_s2__,22
96,11090.7,10,94,4,solrj,rf8_s2__,22
112,24424.5,6,26,4,solrj,rf8_s4__,42
128,24499.3,7,28,4,solrj,rf8_s4__,42
144,30468.8,6,25,4,solrj,rf8_s4__,42
160,30557.5,8,28,4,solrj,rf8_s4__,42
16,5929.3,4,11,4,solrj,rf8_s4__,42
176,36220.3,7,25,4,solrj,rf8_s4__,42
192,36208.5,8,27,4,solrj,rf8_s4__,42
208,42071.2,7,25,4,solrj,rf8_s4__,42
224,41998.0,8,27,4,solrj,rf8_s4__,42
240,48082.9,8,25,4,solrj,rf8_s4__,42
256,48338.3,8,27,4,solrj,rf8_s4__,42
32,6118.7,9,23,4,solrj,rf8_s4__,42
48,12123.0,7,18,4,solrj,rf8_s4__,42
64,12160.4,9,24,4,solrj,rf8_s4__,42
80,18187.2,4,26,4,solrj,rf8_s4__,42
96,18546.3,6,30,4,solrj,rf8_s4__,42
