parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
448,112787.4,2,8,16,direct,rf32_s1_
576,76992.1,6,15,16,direct,rf32_s1_
64,24576.9,1,4,16,direct,rf32_s1_
128,51047.6,1,4,16,direct,rf32_s1_
192,78164.7,1,3,16,direct,rf32_s1_
256,100816.8,1,3,16,direct,rf32_s1_
320,116401.0,1,4,16,direct,rf32_s1_
384,114338.6,1,6,16,direct,rf32_s1_
1408,137071.8,6,23,32,direct,rf32_s1_
2048,131571.9,11,38,32,direct,rf32_s1_
128,45803.5,1,4,32,direct,rf32_s1_
2688,127899.3,15,53,32,direct,rf32_s1_
3328,125409.4,19,70,32,direct,rf32_s1_
768,142203.2,3,10,32,direct,rf32_s1_
1408,148510.0,7,23,32,direct,rf32_s1_
2048,142840.5,11,37,32,direct,rf32_s1_
128,52043.8,1,4,32,direct,rf32_s1_
2688,139163.2,15,53,32,direct,rf32_s1_
3328,136826.9,20,70,32,direct,rf32_s1_
768,155492.5,3,10,32,direct,rf32_s1_
704,17836.5,10,202,16,direct,rf32_s2_
832,18370.3,12,211,16,direct,rf32_s2_
960,20918.5,15,215,16,direct,rf32_s2_
1088,22036.7,17,218,16,direct,rf32_s2_
1216,22334.1,23,219,16,direct,rf32_s2_
64,5879.3,5,25,16,direct,rf32_s2_
1344,22908.5,25,231,16,direct,rf32_s2_
1472,24862.2,29,233,16,direct,rf32_s2_
192,12215.2,6,109,16,direct,rf32_s2_
320,12692.0,7,169,16,direct,rf32_s2_
448,14636.1,7,184,16,direct,rf32_s2_
576,16229.0,9,193,16,direct,rf32_s2_
64,6437.4,5,22,16,direct,rf32_s2_
128,11273.1,5,72,16,direct,rf32_s2_
192,11713.1,6,122,16,direct,rf32_s2_
256,13064.6,6,142,16,direct,rf32_s2_
320,14012.6,6,152,16,direct,rf32_s2_
384,15449.9,7,150,16,direct,rf32_s2_
128,10167.4,6,41,32,direct,rf32_s2_
256,23307.8,4,64,32,direct,rf32_s2_
384,30050.4,5,83,32,direct,rf32_s2_
