parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
384,44710.7,2,27,16,solrj,rf32_s1_
704,17492.0,9,193,16,solrj,rf32_s2_
832,18248.5,10,210,16,solrj,rf32_s2_
960,17639.1,12,238,16,solrj,rf32_s2_
1088,19490.1,14,239,16,solrj,rf32_s2_
1216,19924.5,17,255,16,solrj,rf32_s2_
64,5852.1,5,20,16,solrj,rf32_s2_
1344,20432.5,21,271,16,solrj,rf32_s2_
1472,20990.9,28,275,16,solrj,rf32_s2_
192,10930.6,5,121,16,solrj,rf32_s2_
320,13250.6,6,144,16,solrj,rf32_s2_
448,14921.1,6,160,16,solrj,rf32_s2_
576,16342.6,7,181,16,solrj,rf32_s2_
64,6110.0,5,21,16,solrj,rf32_s2_
128,9616.0,5,98,16,solrj,rf32_s2_
192,11672.2,5,121,16,solrj,rf32_s2_
256,12163.5,6,138,16,solrj,rf32_s2_
320,13852.8,6,143,16,solrj,rf32_s2_
384,14798.9,6,146,16,solrj,rf32_s2_
128,12343.1,5,30,32,solrj,rf32_s2_
256,19119.0,5,90,32,solrj,rf32_s2_
384,22852.6,5,104,32,solrj,rf32_s2_
512,25046.5,6,116,32,solrj,rf32_s2_
640,27120.1,6,130,32,solrj,rf32_s2_
768,29350.0,7,136,32,solrj,rf32_s2_
88,14868.0,3,14,2,solrj,rf4_s1__
104,15418.4,3,16,2,solrj,rf4_s1__
120,14733.3,4,19,2,solrj,rf4_s1__
136,14799.5,6,20,2,solrj,rf4_s1__
152,14437.9,7,24,2,solrj,rf4_s1__
8,2422.0,1,4,2,solrj,rf4_s1__
168,14811.2,7,25,2,solrj,rf4_s1__
184,14729.1,8,29,2,solrj,rf4_s1__
24,7852.7,1,4,2,solrj,rf4_s1__
40,12744.8,1,4,2,solrj,rf4_s1__
56,14666.8,2,6,2,solrj,rf4_s1__
72,14740.1,2,10,2,solrj,rf4_s1__
176,25521.0,3,15,4,solrj,rf4_s1__
256,26566.6,5,24,4,solrj,rf4_s1__
16,4591.8,2,5,4,solrj,rf4_s1__
336,25953.2,7,41,4,solrj,rf4_s1__
416,25703.6,8,60,4,solrj,rf4_s1__
96,24511.5,1,8,4,solrj,rf4_s1__
352,28257.9,4,60,8,solrj,rf4_s1__
416,29676.9,5,65,8,solrj,rf4_s1__
480,27655.7,5,90,8,solrj,rf4_s1__
544,27998.4,6,104,8,solrj,rf4_s1__
608,28847.7,7,109,8,solrj,rf4_s1__
32,9674.9,1,4,8,solrj,rf4_s1__
672,28746.5,7,124,8,solrj,rf4_s1__
736,31087.1,9,113,8,solrj,rf4_s1__
96,23829.4,1,7,8,solrj,rf4_s1__
160,25751.8,2,17,8,solrj,rf4_s1__
224,26699.0,2,30,8,solrj,rf4_s1__
288,27742.9,3,42,8,solrj,rf4_s1__
704,4901.9,134,467,16,solrj,rf4_s16_
1024,3351.6,177,2613,16,solrj,rf4_s16_
64,3238.6,7,128,16,solrj,rf4_s16_
1344,3071.3,276,2316,16,solrj,rf4_s16_
1664,2236.7,1289,1421,16,solrj,rf4_s16_
384,3693.4,50,295,16,solrj,rf4_s16_
88,1075.2,60,251,2,solrj,rf4_s16_
128,1051.7,89,358,2,solrj,rf4_s16_
8,856.6,6,10,2,solrj,rf4_s16_
168,1043.4,124,450,2,solrj,rf4_s16_
208,947.5,151,740,2,solrj,rf4_s16_
48,1026.8,32,185,2,solrj,rf4_s16_
176,1370.9,65,524,4,solrj,rf4_s16_
256,1600.7,102,629,4,solrj,rf4_s16_
16,1491.4,6,12,4,solrj,rf4_s16_
336,1805.4,147,763,4,solrj,rf4_s16_
416,1737.9,168,1201,4,solrj,rf4_s16_
96,1649.3,36,207,4,solrj,rf4_s16_
352,2031.4,108,1148,8,solrj,rf4_s16_
512,2526.6,159,1230,8,solrj,rf4_s16_
32,2197.9,7,117,8,solrj,rf4_s16_
672,2059.7,159,2547,8,solrj,rf4_s16_
832,2649.3,253,1909,8,solrj,rf4_s16_
192,2502.5,42,233,8,solrj,rf4_s16_
88,4561.3,14,41,2,solrj,rf4_s2__
104,4636.9,16,56,2,solrj,rf4_s2__
120,4820.1,19,59,2,solrj,rf4_s2__
136,4519.8,24,82,2,solrj,rf4_s2__
152,4621.3,25,92,2,solrj,rf4_s2__
8,1551.4,3,6,2,solrj,rf4_s2__
168,4529.3,29,103,2,solrj,rf4_s2__
184,4559.3,32,106,2,solrj,rf4_s2__
24,3956.4,4,8,2,solrj,rf4_s2__
40,4597.9,6,13,2,solrj,rf4_s2__
56,4705.8,8,20,2,solrj,rf4_s2__
72,4600.8,11,30,2,solrj,rf4_s2__
16,2863.5,4,7,4,solrj,rf4_s2__
32,5888.5,3,7,4,solrj,rf4_s2__
48,7219.1,4,10,4,solrj,rf4_s2__
64,7483.6,5,15,4,solrj,rf4_s2__
80,7886.9,6,19,4,solrj,rf4_s2__
96,7612.8,7,32,4,solrj,rf4_s2__
352,10933.6,8,174,8,solrj,rf4_s2__
512,10008.4,11,245,8,solrj,rf4_s2__
32,4812.4,4,8,8,solrj,rf4_s2__
672,10398.2,13,269,8,solrj,rf4_s2__
832,10822.4,18,338,8,solrj,rf4_s2__
192,9853.6,7,113,8,solrj,rf4_s2__
128,32598.1,1,6,32,solrj,rf64_s1_
256,43397.7,2,10,32,solrj,rf64_s1_
384,51043.0,2,20,32,solrj,rf64_s1_
512,55850.5,3,34,32,solrj,rf64_s1_
640,52491.3,3,57,32,solrj,rf64_s1_
768,49487.4,3,80,32,solrj,rf64_s1_
1408,38105.8,3,271,32,solrj,rf64_s1_
1664,37642.3,4,323,32,solrj,rf64_s1_
1920,37243.1,4,399,32,solrj,rf64_s1_
2176,37024.3,4,458,32,solrj,rf64_s1_
2432,36778.4,4,515,32,solrj,rf64_s1_
128,32356.0,1,6,32,solrj,rf64_s1_
2688,36792.1,4,573,32,solrj,rf64_s1_
2944,36519.3,4,638,32,solrj,rf64_s1_
