


"Host:","node-13.36-intel-s-cloud.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output dstatoutput_load_gen_real.csv",,,,"Date:","01 Oct 2019 16:45:20 MDT"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","77","78","79","int","csw","used","free","lis","act","syn","tim","clo"
01-10 16:45:53,56.952,6.952,36.097,0,0,12561092608,49880772608,267841536,4446597120,0,81920,0,6,39566104,49112996,6010,4863,6412,86165,107369,0,3221221376,10,84,0,15,0
01-10 16:45:54,61.342,7.476,31.182,0,0,12561801216,49880059904,267841536,4446601216,0,0,0,0,39114678,48847032,5672,4667,6121,84108,93324,0,3221221376,10,84,0,15,0
01-10 16:45:55,26.947,3.078,69.975,0,0,12561965056,49879896064,267841536,4446601216,0,0,0,0,17412433,21271286,2682,2180,2473,37655,43754,0,3221221376,10,44,0,15,0
01-10 16:45:56,0,0.250,99.750,0,0,12561899520,49879961600,267841536,4446601216,0,90112,0,22,546,630,0,0,0,143,177,0,3221221376,10,44,0,0,0
01-10 16:45:57,0,0.250,99.750,0,0,12561866752,49879994368,267841536,4446601216,0,0,0,0,425,622,0,0,0,115,190,0,3221221376,10,44,0,0,0
01-10 16:45:58,0,0.188,99.750,0.063,0,12561833984,49880027136,267845632,4446597120,0,73728,0,6,478,836,0,0,0,109,188,0,3221221376,10,44,0,0,0
01-10 16:45:59,0.125,0.187,99.688,0,0,12560982016,49880875008,267845632,4446601216,0,0,0,0,477,852,0,1,1,578,373,0,3221221376,10,44,0,0,0
01-10 16:46:00,0.125,0.375,99.500,0,0,12557201408,49884655616,267845632,4446601216,0,0,0,0,366,622,0,0,0,1247,751,0,3221221376,10,44,0,0,0
01-10 16:46:01,0,0.250,99.750,0,0,12557201408,49884655616,267845632,4446601216,0,0,0,0,545,606,0,0,0,94,159,0,3221221376,10,44,0,0,0
01-10 16:46:02,0,0.188,99.812,0,0,12557201408,49884655616,267845632,4446601216,0,0,0,0,306,606,0,0,0,109,193,0,3221221376,10,44,0,0,0
01-10 16:46:03,0,0.188,99.812,0,0,12557201408,49884655616,267845632,4446601216,0,0,0,0,1182,836,0,0,0,124,189,0,3221221376,10,44,0,0,0
