


"Host:","node-13.36-intel-s-cloud.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output dstatoutput_load_gen_real.csv",,,,"Date:","01 Oct 2019 16:45:20 MDT"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","77","78","79","int","csw","used","free","lis","act","syn","tim","clo"
01-10 16:47:47,0,0.188,99.812,0,0,12584161280,49857613824,267853824,4446674944,0,24576,0,4,820,622,0,0,0,106,180,0,3221221376,10,43,0,1,0
01-10 16:47:48,0.062,0.250,99.688,0,0,12584161280,49857613824,267853824,4446674944,0,0,0,0,718,972,0,0,0,115,176,0,3221221376,10,43,0,1,0
01-10 16:47:49,0.062,0.125,99.812,0,0,12584161280,49857613824,267853824,4446674944,0,40960,0,4,545,606,0,0,0,99,155,0,3221221376,10,43,0,1,0
01-10 16:47:50,0,0.188,99.812,0,0,12584161280,49857613824,267853824,4446674944,0,0,0,0,366,622,0,0,0,95,160,0,3221221376,10,43,0,1,0
01-10 16:47:51,0,0.188,99.812,0,0,12584161280,49857613824,267853824,4446674944,0,0,0,0,665,666,0,0,0,101,160,0,3221221376,10,43,0,1,0
01-10 16:47:52,0.062,0.125,99.812,0,0,12584161280,49857613824,267853824,4446674944,0,0,0,0,246,606,0,0,0,85,146,0,3221221376,10,43,0,1,0
01-10 16:47:53,0,0.250,99.688,0.062,0,12584161280,49857613824,267853824,4446674944,0,32768,0,4,537,836,0,0,0,110,187,0,3221221376,10,43,0,1,0
01-10 16:47:54,0,0.188,99.812,0,0,12584161280,49857613824,267853824,4446674944,0,0,0,0,486,622,0,0,0,96,159,0,3221221376,10,43,0,1,0
01-10 16:47:55,0.063,0.125,99.812,0,0,12584161280,49857613824,267853824,4446674944,0,0,0,0,1154,606,0,0,0,110,173,0,3221221376,10,43,0,1,0
01-10 16:47:56,0,0.250,99.750,0,0,12584161280,49857613824,267853824,4446674944,0,0,0,0,366,666,0,0,0,96,153,0,3221221376,10,43,0,1,0
01-10 16:47:57,0,0.188,99.812,0,0,12584161280,49857613824,267853824,4446674944,0,0,0,0,185,606,0,0,0,83,142,0,3221221376,10,43,0,1,0
01-10 16:47:58,0,0.188,99.812,0,0,12584161280,49857613824,267853824,4446674944,0,24576,0,4,418,836,0,0,0,108,190,0,3221221376,10,43,0,1,0
01-10 16:47:59,0,0.188,99.812,0,0,12584161280,49857613824,267853824,4446674944,0,0,0,0,597,852,0,2,1,109,172,0,3221221376,10,43,0,1,0
01-10 16:48:00,0.062,0.188,99.750,0,0,12584161280,49857613824,267853824,4446674944,0,0,0,0,1036,622,0,0,0,100,156,0,3221221376,10,43,0,1,0
01-10 16:48:01,0.062,0.187,99.750,0,0,12584161280,49857613824,267853824,4446674944,0,0,0,0,305,606,0,0,0,87,149,0,3221221376,10,43,0,1,0
01-10 16:48:02,0,0.188,99.812,0,0,12584161280,49857613824,267853824,4446674944,0,0,0,0,426,606,0,0,0,99,158,0,3221221376,10,43,0,1,0
01-10 16:48:03,0,0.188,99.812,0,0,12584161280,49857613824,267853824,4446674944,0,0,0,0,1128,968,0,0,0,137,198,0,3221221376,10,43,0,1,0
01-10 16:48:04,0,0.188,99.812,0,0,12584161280,49857613824,267853824,4446674944,0,32768,0,6,306,606,0,0,0,106,165,0,3221221376,10,43,0,1,0
01-10 16:48:05,0,0.188,99.812,0,0,12584157184,49857613824,267853824,4446679040,0,0,0,0,485,622,0,0,0,94,143,0,3221221376,10,43,0,1,0
01-10 16:48:06,0.062,0.188,99.750,0,0,12584157184,49857613824,267853824,4446679040,0,0,0,0,426,666,0,0,0,107,168,0,3221221376,10,43,0,1,0
01-10 16:48:07,0,0.188,99.812,0,0,12584153088,49857613824,267853824,4446683136,0,0,0,0,245,606,0,0,0,93,160,0,3221221376,10,43,0,1,0
01-10 16:48:08,0.062,0.187,99.750,0,0,12584153088,49857613824,267853824,4446683136,0,0,0,0,298,836,0,0,0,124,181,0,3221221376,10,43,0,1,0
01-10 16:48:09,0,0.188,99.750,0.062,0,12584153088,49857613824,267857920,4446679040,0,90112,0,8,305,606,0,0,0,90,155,0,3221221376,10,43,0,1,0
01-10 16:48:10,0.063,0.188,99.750,0,0,12584529920,49857232896,267857920,4446683136,0,0,0,0,512,803,0,0,0,119,177,0,3221221376,10,44,0,1,0
01-10 16:48:11,0,0.188,99.812,0,0,12584665088,49857097728,267857920,4446683136,0,0,0,0,425,606,0,0,0,95,162,0,3221221376,10,44,0,1,0
01-10 16:48:12,0,0.250,99.750,0,0,12584665088,49857097728,267857920,4446683136,0,0,0,0,366,606,0,0,0,85,143,0,3221221376,10,44,0,1,0
01-10 16:48:13,0,0.188,99.812,0,0,12584800256,49856962560,267857920,4446683136,0,0,0,0,813,2286,0,2,1,168,190,0,3221221376,10,44,0,1,0
01-10 16:48:14,0.062,0.188,99.750,0,0,12584800256,49856962560,267857920,4446683136,0,0,0,0,126,622,0,0,0,91,163,0,3221221376,10,44,0,1,0
01-10 16:48:15,32.557,4.408,63.035,0,0,12595904512,49845854208,267862016,4446683136,0,24576,0,4,22547051,27420833,3138,2853,2943,46189,60789,0,3221221376,10,164,0,1,0
01-10 16:48:16,79.062,8.062,12.875,0,0,12598370304,49843384320,267862016,4446687232,0,0,0,0,48371040,60215444,6420,4832,6572,90027,88069,0,3221221376,10,164,0,1,0
01-10 16:48:17,76.686,7.876,15.438,0,0,12599869440,49841881088,267862016,4446691328,0,0,0,0,49397141,61103383,6400,5049,6790,89554,92905,0,3221221376,10,164,0,1,0
01-10 16:48:18,76.008,7.305,16.688,0,0,12601126912,49840623616,267862016,4446691328,0,0,0,0,46351446,56535258,6277,4675,6595,86560,85005,0,3221221376,10,164,0,1,0
01-10 16:48:19,71.429,7.489,21.082,0,0,12600995840,49840754688,267862016,4446691328,0,65536,0,12,44913083,58075941,6599,5344,6574,91334,107211,0,3221221376,10,164,0,1,0
01-10 16:48:20,78.029,8.035,13.936,0,0,12602003456,49839742976,267862016,4446695424,0,98304,0,6,50358812,62316451,6799,5332,6920,94267,94641,0,3221221376,10,164,0,1,0
01-10 16:48:21,76.721,7.509,15.770,0,0,12603289600,49838456832,267862016,4446695424,0,0,0,0,44450795,55922733,6291,4560,6037,84858,82397,0,3221221376,10,164,0,1,0
01-10 16:48:22,74.720,8.281,16.999,0,0,12605116416,49836625920,267862016,4446699520,0,0,0,0,46617203,58014540,6620,5045,6410,87835,91679,0,3221221376,10,164,0,1,0
01-10 16:48:23,72.075,8.428,19.497,0,0,12605734912,49836007424,267862016,4446699520,0,0,0,0,45563683,57360384,6410,5323,6078,87500,91256,0,3221221376,10,164,0,1,0
01-10 16:48:24,74.761,7.266,17.973,0,0,12607430656,49834307584,267862016,4446703616,0,0,0,0,47486509,59316806,6325,5295,6514,91093,94763,0,3221221376,10,164,0,1,0
01-10 16:48:25,75.455,7.847,16.698,0,0,12611448832,49830285312,267862016,4446707712,0,0,0,0,46858061,57073695,5720,5057,6091,85445,80897,0,3221221376,10,164,0,1,0
01-10 16:48:26,78.553,8.302,13.145,0,0,12612976640,49828757504,267862016,4446707712,0,90112,0,6,53753560,66303056,6496,5419,6555,94315,98927,0,3221221376,10,164,0,1,0
01-10 16:48:27,77.050,8.201,14.749,0,0,12612222976,49829511168,267862016,4446707712,0,0,0,0,54046066,67388662,6952,5906,7009,99685,106188,0,3221221376,10,164,0,1,0
01-10 16:48:28,76.471,7.527,16.003,0,0,12612452352,49829277696,267862016,4446711808,0,0,0,0,49454165,61810155,6419,5545,6431,92667,92460,0,3221221376,10,164,0,1,0
01-10 16:48:29,74.340,7.987,17.673,0,0,12614352896,49827377152,267862016,4446711808,0,0,0,0,47507971,59386051,6055,4969,6180,87756,90034,0,3221221376,10,164,0,1,0
01-10 16:48:30,70.878,7.833,21.289,0,0,12614967296,49826758656,267862016,4446715904,0,0,0,0,44975444,56197152,6232,4909,6076,86943,92762,0,3221221376,10,164,0,1,0
01-10 16:48:31,76.345,7.635,15.957,0.063,0,12616900608,49824825344,267862016,4446715904,0,81920,0,6,46768435,58524259,6458,4878,6254,86164,87543,0,3221221376,10,163,1,1,0
01-10 16:48:32,74.750,7.500,17.750,0,0,12618252288,49823465472,267862016,4446724096,0,0,0,0,50073851,61918918,6297,5158,6138,89625,93561,0,3221221376,10,163,0,1,0
01-10 16:48:33,71.509,7.170,21.321,0,0,12619431936,49822285824,267862016,4446724096,0,0,0,0,52748480,64889310,6591,5486,6613,93910,102926,0,3221221376,10,163,0,1,0
01-10 16:48:34,75.782,7.509,16.708,0,0,12621729792,49819979776,267862016,4446732288,0,0,0,0,53138733,65185299,6369,5305,6769,93512,96388,0,3221221376,10,163,0,0,0
01-10 16:48:35,76.030,7.673,16.297,0,0,12622610432,49819095040,267862016,4446736384,0,16384,0,4,53144379,65444838,7211,5683,6646,97751,104553,0,3221221376,10,163,0,0,0
01-10 16:48:36,73.166,8.213,18.621,0,0,12623560704,49818144768,267862016,4446736384,0,172032,0,10,53060983,65042863,6704,5165,6485,94148,102627,0,3221221376,10,163,0,0,0
01-10 16:48:37,72.335,8.439,19.226,0,0,12622413824,49819291648,267862016,4446736384,0,0,0,0,51967650,63849798,7254,5427,6655,96749,113200,0,3221221376,10,163,0,0,0
01-10 16:48:38,38.773,4.111,57.116,0,0,12624306176,49817395200,267862016,4446740480,0,0,0,0,23543007,30448186,3239,2718,3161,46023,50651,0,3221221376,10,42,0,0,0
01-10 16:48:39,0,0.188,99.812,0,0,12624207872,49817493504,267862016,4446740480,0,0,0,0,185,630,0,0,0,124,191,0,3221221376,10,42,0,0,0
01-10 16:48:40,0.125,0.250,99.625,0,0,12623585280,49818116096,267862016,4446740480,0,0,0,0,246,606,0,0,0,582,357,0,3221221376,10,42,0,0,0
01-10 16:48:41,0.063,0.188,99.750,0,0,12624322560,49817378816,267862016,4446740480,0,73728,0,6,1846,2517,0,0,0,200,223,0,3221221376,10,43,0,0,0
01-10 16:48:42,0.062,0.375,99.562,0,0,12623785984,49817915392,267862016,4446740480,0,0,0,0,1201,1389,0,0,0,1003,738,0,3221221376,10,42,1,0,0
01-10 16:48:43,0.438,0.375,99.187,0,0,12607500288,49834201088,267862016,4446740480,0,0,0,0,543,836,0,0,0,3907,2713,0,3221221376,10,42,0,0,0
01-10 16:48:44,0.312,0.312,99.375,0,0,12607500288,49834201088,267862016,4446740480,0,0,0,0,30430,29412,0,0,0,177,230,0,3221221376,10,43,0,0,0
01-10 16:48:45,0,0.188,99.812,0,0,12607500288,49834201088,267862016,4446740480,0,0,0,0,245,606,0,0,0,89,150,0,3221221376,10,43,0,0,0
01-10 16:48:46,0,0.250,99.750,0,0,12607500288,49834201088,267862016,4446740480,0,0,0,0,358,836,0,1,1,118,175,0,3221221376,10,43,0,0,0
01-10 16:48:47,0,0.188,99.812,0,0,12607500288,49834201088,267862016,4446740480,0,57344,0,4,425,622,0,0,0,105,173,0,3221221376,10,43,0,0,0
01-10 16:48:48,0,0.188,99.812,0,0,12607500288,49834201088,267862016,4446740480,0,0,0,0,538,852,0,0,0,101,167,0,3221221376,10,43,0,0,0
01-10 16:48:49,0,0.250,99.750,0,0,12607500288,49834201088,267862016,4446740480,0,0,0,0,1077,672,0,0,0,102,159,0,3221221376,10,43,0,0,0
01-10 16:48:50,0,0.188,99.812,0,0,12607500288,49834201088,267862016,4446740480,0,40960,0,6,366,606,0,0,0,102,165,0,3221221376,10,43,0,0,0
01-10 16:48:51,0,0.188,99.812,0,0,12607500288,49834201088,267862016,4446740480,0,0,0,0,820,622,0,0,0,107,175,0,3221221376,10,43,0,0,0
01-10 16:48:52,0,0.250,99.688,0.062,0,12607500288,49834201088,267862016,4446740480,0,32768,0,4,426,606,0,0,0,91,159,0,3221221376,10,43,0,0,0
01-10 16:48:53,0,0.188,99.812,0,0,12607500288,49834201088,267862016,4446740480,0,0,0,0,657,852,0,0,0,108,169,0,3221221376,10,43,0,0,0
01-10 16:48:54,0,0.188,99.812,0,0,12607500288,49834201088,267862016,4446740480,0,0,0,0,366,606,0,0,0,94,157,0,3221221376,10,43,0,0,0
01-10 16:48:55,0,0.188,99.812,0,0,12607500288,49834201088,267862016,4446740480,0,98304,0,20,365,606,0,0,0,108,169,0,3221221376,10,43,0,0,0
01-10 16:48:56,0,0.250,99.750,0,0,12607500288,49834201088,267862016,4446740480,0,0,0,0,126,622,0,0,0,94,152,0,3221221376,10,43,0,0,0
01-10 16:48:57,0,0.188,99.812,0,0,12607500288,49834201088,267862016,4446740480,0,0,0,0,365,606,0,0,0,84,143,0,3221221376,10,43,0,0,0
01-10 16:48:58,0,0.188,99.812,0,0,12607500288,49834201088,267862016,4446740480,0,24576,0,4,358,836,0,0,0,115,195,0,3221221376,10,43,0,0,0
01-10 16:48:59,0,0.250,99.750,0,0,12607500288,49834201088,267862016,4446740480,0,0,0,0,872,852,0,2,1,118,179,0,3221221376,10,43,0,0,0
01-10 16:49:00,0,0.188,99.812,0,0,12607500288,49834201088,267862016,4446740480,0,0,0,0,580,622,0,0,0,93,153,0,3221221376,10,43,0,0,0
01-10 16:49:01,0,0.188,99.812,0,0,12607496192,49834201088,267862016,4446744576,0,0,0,0,605,606,0,0,0,88,141,0,3221221376,10,43,0,0,0
01-10 16:49:02,0,0.188,99.812,0,0,12607492096,49834201088,267862016,4446748672,0,0,0,0,246,606,0,0,0,92,163,0,3221221376,10,43,0,0,0
01-10 16:49:03,0,0.250,99.688,0.062,0,12607492096,49834201088,267862016,4446748672,0,90112,0,10,1002,836,0,0,0,128,210,0,3221221376,10,43,0,0,0
01-10 16:49:04,0,0.188,99.812,0,0,12607492096,49834201088,267862016,4446748672,0,0,0,0,581,622,0,0,0,99,156,0,3221221376,10,43,0,0,0
01-10 16:49:05,0,0.188,99.812,0,0,12607492096,49834201088,267862016,4446748672,0,0,0,0,640,606,0,0,0,91,154,0,3221221376,10,43,0,0,0
01-10 16:49:06,0,0.250,99.750,0,0,12607492096,49834201088,267862016,4446748672,0,393216,0,92,786,606,0,0,0,159,167,0,3221221376,10,43,0,0,0
01-10 16:49:07,0,0.188,99.812,0,0,12607492096,49834201088,267862016,4446748672,0,0,0,0,485,622,0,0,0,97,165,0,3221221376,10,43,0,0,0
01-10 16:49:08,0,0.188,99.812,0,0,12607492096,49834201088,267862016,4446748672,0,0,0,0,358,836,0,0,0,110,187,0,3221221376,10,43,0,0,0
01-10 16:49:09,0,0.188,99.812,0,0,12607488000,49834201088,267866112,4446748672,0,24576,0,4,545,606,0,0,0,96,151,0,3221221376,10,43,0,0,0
01-10 16:49:10,0,0.188,99.812,0,0,12607488000,49834201088,267866112,4446748672,0,0,0,0,246,622,0,0,0,94,159,0,3221221376,10,43,0,0,0
01-10 16:49:11,0,0.250,99.750,0,0,12607488000,49834201088,267866112,4446748672,0,0,0,0,365,606,0,0,0,96,161,0,3221221376,10,43,0,0,0
01-10 16:49:12,0,0.188,99.812,0,0,12607488000,49834201088,267866112,4446748672,0,0,0,0,606,606,0,0,0,91,139,0,3221221376,10,43,0,0,0
01-10 16:49:13,0,0.188,99.812,0,0,12607488000,49834201088,267866112,4446748672,0,0,0,0,709,1066,0,1,2,104,177,0,3221221376,10,43,0,0,0
01-10 16:49:14,0,0.188,99.750,0.062,0,12607488000,49834201088,267866112,4446748672,0,24576,0,4,366,622,0,0,0,97,165,0,3221221376,10,43,0,0,0
01-10 16:49:15,0,0.188,99.812,0,0,12607488000,49834201088,267866112,4446748672,0,0,0,0,305,622,0,0,0,102,166,0,3221221376,10,43,0,0,0
01-10 16:49:16,0,0.250,99.750,0,0,12607488000,49834201088,267866112,4446748672,0,0,0,0,426,606,0,0,0,99,155,0,3221221376,10,43,0,0,0
01-10 16:49:17,0,0.188,99.812,0,0,12607488000,49834201088,267866112,4446748672,0,0,0,0,725,606,0,0,0,91,139,0,3221221376,10,43,0,0,0
01-10 16:49:18,0.062,0.187,99.750,0,0,12607488000,49834201088,267866112,4446748672,0,0,0,0,418,836,0,0,0,122,209,0,3221221376,10,43,0,0,0
01-10 16:49:19,0,0.188,99.812,0,0,12607488000,49834201088,267866112,4446748672,0,0,0,0,861,995,0,2,1,104,171,0,3221221376,10,43,0,0,0
01-10 16:49:20,0,0.250,99.750,0,0,12607488000,49834201088,267866112,4446748672,0,24576,0,4,306,622,0,0,0,97,155,0,3221221376,10,43,0,0,0
01-10 16:49:21,0.062,0.187,99.750,0,0,12607488000,49834201088,267866112,4446748672,0,32768,0,6,305,724,0,0,0,95,148,0,3221221376,10,43,0,0,0
01-10 16:49:22,0,0.188,99.812,0,0,12607488000,49834201088,267866112,4446748672,0,0,0,0,252,1824,0,0,0,95,161,0,3221221376,10,43,0,0,0
01-10 16:49:23,0,0.188,99.812,0,0,12607488000,49834201088,267866112,4446748672,0,0,0,0,417,836,0,0,0,110,193,0,3221221376,10,43,0,0,0
01-10 16:49:24,0,0.250,99.750,0,0,12607488000,49834201088,267866112,4446748672,0,0,0,0,426,606,0,0,0,88,143,0,3221221376,10,43,0,0,0
01-10 16:49:25,0,0.188,99.812,0,0,12607488000,49834201088,267866112,4446748672,0,32768,0,4,626,606,0,0,0,95,157,0,3221221376,10,43,0,0,0
01-10 16:49:26,0,0.188,99.812,0,0,12607488000,49834201088,267866112,4446748672,0,0,0,0,426,622,0,0,0,116,174,0,3221221376,10,43,0,0,0
01-10 16:49:27,0,0.250,99.750,0,0,12607488000,49834201088,267866112,4446748672,0,0,0,0,880,606,0,0,0,114,170,0,3221221376,10,43,0,0,0
01-10 16:49:28,0,0.188,99.812,0,0,12607488000,49834201088,267866112,4446748672,0,0,0,0,418,836,0,0,0,126,178,0,3221221376,10,43,0,0,0
01-10 16:49:29,0,0.188,99.812,0,0,12607488000,49834201088,267866112,4446748672,0,0,0,0,665,606,0,0,0,93,137,0,3221221376,10,43,0,0,0
01-10 16:49:30,0,0.250,99.750,0,0,12607488000,49834201088,267866112,4446748672,0,0,0,0,306,606,0,0,0,90,153,0,3221221376,10,43,0,0,0
01-10 16:49:31,0,0.188,99.750,0.062,0,12607483904,49834201088,267866112,4446752768,0,114688,0,18,185,606,0,0,0,109,180,0,3221221376,10,43,0,0,0
01-10 16:49:32,0,0.188,99.812,0,0,12607483904,49834201088,267866112,4446752768,0,0,0,0,418,852,0,1,2,90,149,0,3221221376,10,43,0,0,0
01-10 16:49:33,0,0.250,99.750,0,0,12607479808,49834201088,267866112,4446756864,0,0,0,0,882,918,0,0,0,109,184,0,3221221376,10,43,0,0,0
01-10 16:49:34,0,0.188,99.812,0,0,12607479808,49834201088,267866112,4446756864,0,0,0,0,306,606,0,0,0,93,157,0,3221221376,10,43,0,0,0
01-10 16:49:35,60.735,6.080,33.186,0,0,12631404544,49810276352,267866112,4446756864,0,0,0,0,36979711,45116747,4938,3931,5026,68712,72310,0,3221221376,10,203,0,0,0
01-10 16:49:36,74.135,8.244,17.621,0,0,12632748032,49808928768,267866112,4446760960,0,106496,0,8,50901520,62549388,6691,5620,6532,91364,97186,0,3221221376,10,203,0,0,0
01-10 16:49:37,78.531,8.412,13.057,0,0,12633075712,49808601088,267866112,4446760960,0,0,0,0,54783799,67706916,6723,5695,7005,95066,103756,0,3221221376,10,203,0,0,0
01-10 16:49:38,77.030,8.376,14.594,0,0,12632264704,49809412096,267866112,4446760960,0,0,0,0,55216037,68395758,7021,5547,6771,96047,106213,0,3221221376,10,203,0,0,0
01-10 16:49:39,76.749,8.885,14.367,0,0,12633214976,49808457728,267866112,4446765056,0,0,0,0,52417176,64564170,6386,5249,6726,90792,95262,0,3221221376,10,203,0,0,0
01-10 16:49:40,77.812,7.750,14.438,0,0,12633055232,49808617472,267866112,4446765056,0,0,0,0,51742616,64278057,6614,5518,6622,95155,98064,0,3221221376,10,203,0,0,0
01-10 16:49:41,78.901,7.581,13.519,0,0,12634873856,49806794752,267866112,4446769152,0,90112,0,8,49243616,61693214,6406,5026,5956,88463,88793,0,3221221376,10,203,0,0,0
01-10 16:49:42,75.701,7.539,16.760,0,0,12635512832,49806151680,267866112,4446773248,0,0,0,0,44945760,57375118,6080,4884,6203,83940,83527,0,3221221376,10,203,0,0,0
01-10 16:49:43,77.230,7.860,14.910,0,0,12635058176,49806606336,267866112,4446773248,0,0,0,0,52119173,64720669,6613,5280,6757,92873,97359,0,3221221376,10,203,0,0,0
01-10 16:49:44,74.440,6.965,18.595,0,0,12642639872,49799020544,267866112,4446777344,0,0,0,0,51514567,64116430,6911,5387,6344,91758,101167,0,3221221376,10,203,0,0,0
01-10 16:49:45,75.334,8.519,16.147,0,0,12643655680,49798004736,267866112,4446777344,0,0,0,0,52510589,65691345,7266,5313,6759,94212,101815,0,3221221376,10,203,0,0,0
01-10 16:49:46,79.503,8.075,12.422,0,0,12643991552,49797664768,267866112,4446781440,0,0,0,0,55123084,67465120,6713,5281,6365,95036,99785,0,3221221376,10,203,0,0,0
01-10 16:49:47,78.030,9.154,12.816,0,0,12645785600,49795866624,267870208,4446781440,0,98304,0,6,55958049,68873418,6667,5766,6673,95761,99163,0,3221221376,10,203,0,0,0
01-10 16:49:48,81.262,8.517,10.221,0,0,12646498304,49795149824,267870208,4446785536,0,0,0,0,52533518,65668043,6332,5251,6496,93088,92854,0,3221221376,10,203,0,0,0
01-10 16:49:49,79.093,7.683,13.224,0,0,12646215680,49795432448,267870208,4446785536,0,0,0,0,51748675,64052106,6641,4943,6498,92562,93251,0,3221221376,10,203,0,0,0
01-10 16:49:50,77.778,8.444,13.778,0,0,12647677952,49793966080,267870208,4446789632,0,0,0,0,48527736,61296616,6086,4728,6050,89333,89862,0,3221221376,10,203,0,0,0
01-10 16:49:51,77.645,8.060,14.295,0,0,12649791488,49791848448,267870208,4446793728,0,0,0,0,49642355,61651330,6053,5181,6433,89590,85799,0,3221221376,10,203,0,0,0
01-10 16:49:52,74.520,7.378,18.041,0.062,0,12649750528,49791889408,267870208,4446793728,0,139264,0,12,47707848,59234370,6155,5185,6159,88694,92826,0,3221221376,10,203,0,0,0
01-10 16:49:53,82.677,7.755,9.568,0,0,12649336832,49792303104,267870208,4446793728,0,0,0,0,50087156,63926012,6691,5251,6138,92881,91600,0,3221221376,10,203,0,0,0
01-10 16:49:54,78.354,7.848,13.797,0,0,12650782720,49790853120,267870208,4446797824,0,0,0,0,48017515,60904100,5768,5066,5854,86756,85205,0,3221221376,10,203,0,0,0
01-10 16:49:55,75.468,8.115,16.417,0,0,12651646976,49789988864,267870208,4446797824,0,0,0,0,48991542,61837881,6287,5348,6249,89901,92337,0,3221221376,10,203,0,0,0
01-10 16:49:56,76.339,7.347,16.314,0,0,12653191168,49788440576,267870208,4446801920,0,0,0,0,49267614,62092131,6454,5151,6109,88505,93145,0,3221221376,10,203,0,0,0
01-10 16:49:57,77.505,7.372,15.123,0,0,12651909120,49789718528,267874304,4446801920,0,114688,0,8,47594511,59979440,6358,5299,6113,87447,90947,0,3221221376,10,203,0,0,0
01-10 16:49:58,23.759,2.954,73.287,0,0,12653473792,49788145664,267874304,4446810112,0,0,0,0,18483588,22823146,2410,1856,2451,32769,38297,0,3221221376,10,43,0,0,0
01-10 16:49:59,0,0.250,99.750,0,0,12653473792,49788145664,267874304,4446810112,0,0,0,0,477,860,0,2,1,101,178,0,3221221376,10,43,0,0,0
01-10 16:50:00,0.062,0.125,99.812,0,0,12653473792,49788145664,267874304,4446810112,0,0,0,0,306,622,0,0,0,91,145,0,3221221376,10,43,0,0,0
01-10 16:50:01,0,0.250,99.750,0,0,12651016192,49790603264,267874304,4446810112,0,0,0,0,425,606,0,0,0,1156,713,0,3221221376,10,43,0,0,0
01-10 16:50:02,0.063,0.313,99.561,0.063,0,12647743488,49793875968,267874304,4446810112,0,327680,0,17,881,606,0,0,0,1741,1305,0,3221221376,10,43,0,0,0
01-10 16:50:03,0.250,0.626,99.124,0,0,12630130688,49811488768,267874304,4446810112,0,0,0,0,1216,852,0,0,0,4180,2953,0,3221221376,10,43,0,0,0
01-10 16:50:04,0,0.125,99.875,0,0,12630130688,49811488768,267874304,4446810112,0,0,0,0,366,606,0,0,0,87,147,0,3221221376,10,43,0,0,0
01-10 16:50:05,0,0.188,99.812,0,0,12630130688,49811488768,267874304,4446810112,0,0,0,0,365,606,0,0,0,87,148,0,3221221376,10,43,0,0,0
01-10 16:50:06,0.062,0.250,99.688,0,0,12630130688,49811488768,267874304,4446810112,0,0,0,0,306,606,0,0,0,100,168,0,3221221376,10,43,0,0,0
01-10 16:50:07,0,0.188,99.812,0,0,12630130688,49811488768,267874304,4446810112,0,352256,0,48,820,606,0,0,0,140,211,0,3221221376,10,43,0,0,0
01-10 16:50:08,0,0.250,99.750,0,0,12630130688,49811488768,267874304,4446810112,0,0,0,0,693,852,0,0,0,128,169,0,3221221376,10,43,0,0,0
01-10 16:50:09,0.062,0.125,99.812,0,0,12630130688,49811488768,267874304,4446810112,0,0,0,0,725,708,0,0,0,101,155,0,3221221376,10,43,0,0,0
01-10 16:50:10,0.062,0.188,99.750,0,0,12630130688,49811488768,267874304,4446810112,0,0,0,0,690,1704,0,0,0,95,153,0,3221221376,10,43,0,0,0
01-10 16:50:11,0,0.188,99.812,0,0,12630130688,49811488768,267874304,4446810112,0,0,0,0,605,606,0,0,0,101,163,0,3221221376,10,43,0,0,0
01-10 16:50:12,0,0.188,99.812,0,0,12630130688,49811488768,267874304,4446810112,0,8192,0,2,366,606,0,0,0,106,167,0,3221221376,10,43,0,0,0
01-10 16:50:13,0,0.188,99.750,0.062,0,12630130688,49811488768,267874304,4446810112,0,24576,0,4,829,1082,0,2,1,110,163,0,3221221376,10,43,0,0,0
01-10 16:50:14,0.062,0.188,99.750,0,0,12630130688,49811488768,267874304,4446810112,0,0,0,0,486,638,0,0,0,99,157,0,3221221376,10,43,0,0,0
01-10 16:50:15,0,0.188,99.812,0,0,12630130688,49811488768,267874304,4446810112,0,0,0,0,605,606,0,0,0,102,165,0,3221221376,10,43,0,0,0
01-10 16:50:16,0.062,0.188,99.750,0,0,12630130688,49811488768,267874304,4446810112,0,0,0,0,366,606,0,0,0,98,153,0,3221221376,10,43,0,0,0
01-10 16:50:17,0,0.188,99.812,0,0,12630130688,49811488768,267874304,4446810112,0,0,0,0,305,606,0,0,0,96,167,0,3221221376,10,43,0,0,0
01-10 16:50:18,0.062,0.188,99.750,0,0,12630130688,49811488768,267874304,4446810112,0,24576,0,4,478,836,0,0,0,99,167,0,3221221376,10,43,0,0,0
01-10 16:50:19,0,0.188,99.812,0,0,12630130688,49811488768,267874304,4446810112,0,0,0,0,1101,1011,0,2,1,121,230,0,3221221376,10,43,0,0,0
01-10 16:50:20,0.062,0.187,99.750,0,0,12630130688,49811488768,267874304,4446810112,0,0,0,0,246,622,0,0,0,84,143,0,3221221376,10,43,0,0,0
01-10 16:50:21,0,0.188,99.812,0,0,12630130688,49811488768,267874304,4446810112,0,0,0,0,587,672,0,0,0,90,145,0,3221221376,10,43,0,0,0
01-10 16:50:22,0,0.188,99.812,0,0,12630130688,49811488768,267874304,4446810112,0,40960,0,4,66,606,0,0,0,91,157,0,3221221376,10,43,0,0,0
01-10 16:50:23,0,0.188,99.812,0,0,12630130688,49811488768,267874304,4446810112,0,0,0,0,537,852,0,0,0,105,169,0,3221221376,10,43,0,0,0
01-10 16:50:24,0.062,0.187,99.750,0,0,12630130688,49811488768,267874304,4446810112,0,32768,0,4,486,606,0,0,0,109,181,0,3221221376,10,43,0,0,0
01-10 16:50:25,0,0.125,99.875,0,0,12630130688,49811488768,267874304,4446810112,0,0,0,0,425,622,0,0,0,89,145,0,3221221376,10,43,0,0,0
