


"Host:","node-32.36-intel-s-cloud.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output dstatoutput_load_gen_real.csv",,,,"Date:","01 Oct 2019 16:45:28 MDT"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","77","78","79","int","csw","used","free","lis","act","syn","tim","clo"
01-10 16:47:58,0,0.125,99.812,0.062,0,985411584,65639239680,82944000,598884352,0,24576,0,4,425,606,0,0,0,101,173,0,3221221376,10,9,0,320,0
01-10 16:47:59,0.062,0.125,99.812,0,0,985411584,65639239680,82944000,598884352,0,0,0,0,418,956,0,0,0,112,184,0,3221221376,10,9,0,320,0
01-10 16:48:00,0.062,0.125,99.813,0,0,985411584,65639239680,82944000,598884352,0,0,0,0,1564,738,0,0,0,106,153,0,3221221376,10,9,0,320,0
01-10 16:48:01,0,0.125,99.875,0,0,985411584,65639239680,82944000,598884352,0,974848,0,190,306,606,0,0,0,173,142,0,3221221376,10,9,0,320,0
01-10 16:48:02,1.939,0.563,97.498,0,0,988151808,65636499456,82944000,598884352,0,0,0,0,4588,4765,0,0,0,952,680,0,3221221376,10,10,0,320,0
01-10 16:48:03,0.125,0.250,99.625,0,0,986468352,65638182912,82944000,598892544,0,0,0,0,16574,4431,0,0,0,355,653,0,3221221376,10,9,1,320,0
01-10 16:48:04,1.562,0.562,97.875,0,0,987115520,65637527552,82944000,598892544,0,212992,0,24,4576,4765,0,0,0,981,735,0,3221221376,10,10,0,320,0
01-10 16:48:05,1.438,0.750,97.811,0,0,987635712,65637007360,82944000,598896640,0,0,0,0,26263,6618,0,0,0,951,913,0,3221221376,10,10,0,320,0
01-10 16:48:06,1.504,0.689,97.807,0,0,988274688,65641701376,82944000,593559552,0,0,0,0,5632,5796,0,0,0,1027,901,0,3221221376,10,10,0,320,0
01-10 16:48:07,0.125,0.188,99.687,0,0,986009600,65643962368,82944000,593559552,0,0,0,0,2034,2235,0,0,0,329,429,0,3221221376,10,9,0,320,0
01-10 16:48:08,1.378,0.501,98.121,0,0,988114944,65641857024,82944000,593559552,0,0,0,0,4356,4559,0,0,0,865,684,0,3221221376,10,10,0,320,0
01-10 16:48:09,79.839,14.454,5.707,0,0,1523052544,65106898944,82952192,593575936,0,368640,0,10,1522,1927,0,0,0,5752,865123,0,3221221376,10,9,0,320,0
01-10 16:48:10,24.747,0.758,74.495,0,0,1730719744,64899215360,82952192,593592320,0,0,0,0,551,724,0,0,0,1383,2442,0,3221221376,10,9,0,320,0
01-10 16:48:11,0,0.125,99.875,0,0,1730719744,64899215360,82952192,593592320,0,860160,0,186,186,606,0,0,0,192,186,0,3221221376,10,9,0,320,0
01-10 16:48:12,0,0.125,99.875,0,0,1730719744,64899215360,82952192,593592320,0,0,0,0,657,852,0,0,0,97,160,0,3221221376,10,9,0,320,0
01-10 16:48:13,0,0.125,99.875,0,0,1730719744,64899215360,82952192,593592320,0,0,0,0,186,606,0,0,0,107,187,0,3221221376,10,9,0,320,0
01-10 16:48:14,0,0.063,99.937,0,0,1730719744,64899215360,82952192,593592320,0,0,0,0,305,606,0,0,0,89,146,0,3221221376,10,9,0,320,0
01-10 16:48:15,17.835,2.566,79.537,0.063,0,1760145408,64869756928,82956288,593620992,0,262144,0,26,60293406,30833031,921,693,827,17338,33134,0,3221221376,10,485,4,320,0
01-10 16:48:16,23.548,2.778,73.674,0,0,1765224448,64864677888,82956288,593620992,0,0,0,0,92937415,47281933,1301,1050,1110,24166,30558,0,3221221376,10,489,0,320,0
01-10 16:48:17,23.578,2.655,73.767,0,0,1769029632,64860868608,82956288,593625088,0,0,0,0,94832614,48199068,1308,1013,1167,24500,29201,0,3221221376,10,489,0,320,0
01-10 16:48:18,23.965,3.199,72.836,0,0,1771442176,64858456064,82956288,593625088,0,0,0,0,96241473,48925043,1303,1044,1201,24628,29609,0,3221221376,10,489,0,320,0
01-10 16:48:19,24.544,2.769,72.687,0,0,1773953024,64855945216,82956288,593625088,0,0,0,0,98088166,49848047,1324,1108,1263,25082,30471,0,3221221376,10,489,0,0,0
01-10 16:48:20,24.277,3.270,72.453,0,0,1775751168,64854138880,82964480,593625088,0,180224,0,24,98343854,49999111,1364,1260,1269,25174,30688,0,3221221376,10,489,0,0,0
01-10 16:48:21,23.972,2.720,73.308,0,0,1777561600,64852328448,82964480,593625088,0,0,0,0,94547626,48076633,1293,1078,1206,24547,29568,0,3221221376,10,489,0,0,0
01-10 16:48:22,24.464,2.333,73.203,0,0,1779056640,64850833408,82964480,593625088,0,262144,0,52,96981299,49277555,1267,1056,1311,24875,29536,0,3221221376,10,489,0,0,0
01-10 16:48:23,24.166,2.329,73.505,0,0,1781211136,64848678912,82964480,593625088,0,0,0,0,93296342,47435686,1285,1070,1195,24352,29007,0,3221221376,10,489,0,0,0
01-10 16:48:24,22.587,3.281,74.132,0,0,1782648832,64847241216,82964480,593625088,0,0,0,0,92409118,46939076,1161,1122,1106,23342,27118,0,3221221376,10,489,0,0,0
01-10 16:48:25,23.396,2.390,74.214,0,0,1783779328,64846110720,82964480,593625088,0,0,0,0,90683032,46091085,1198,1008,1074,23647,28461,0,3221221376,10,489,0,0,0
01-10 16:48:26,22.956,2.830,74.214,0,0,1784475648,64845406208,82972672,593625088,0,24576,0,4,90147909,45854891,1214,1090,1219,24137,28249,0,3221221376,10,489,0,0,0
01-10 16:48:27,24.321,3.159,72.521,0,0,1785774080,64844107776,82972672,593625088,0,0,0,0,100795510,51216985,1333,1255,1307,26053,31693,0,3221221376,10,489,0,0,0
01-10 16:48:28,23.807,3.141,73.053,0,0,1787105280,64842776576,82972672,593625088,0,0,0,0,97314817,49484724,1387,1146,1318,25215,29356,0,3221221376,10,489,0,0,0
01-10 16:48:29,23.582,3.059,73.359,0,0,1788665856,64841216000,82972672,593625088,0,0,0,0,102177928,51896288,1345,1188,1303,26193,30666,0,3221221376,10,489,0,0,0
01-10 16:48:30,24.073,3.394,72.533,0,0,1790164992,64839716864,82972672,593625088,0,0,0,0,99733492,50667334,1246,1145,1402,25891,30621,0,3221221376,10,489,0,0,0
01-10 16:48:31,23.861,2.911,73.228,0,0,1791270912,64838610944,82972672,593625088,0,0,0,0,99364256,50474123,1300,1153,1373,25854,30400,0,3221221376,10,489,0,0,0
01-10 16:48:32,23.160,2.602,74.239,0,0,1792405504,64837472256,82976768,593625088,0,40960,0,8,95525772,48539129,1295,1135,1267,25249,29204,0,3221221376,10,489,0,0,0
01-10 16:48:33,22.839,2.713,74.448,0,0,1793613824,64836263936,82976768,593625088,0,0,0,0,92584191,47038997,1306,1181,1180,24403,28704,0,3221221376,10,489,0,0,0
01-10 16:48:34,23.096,3.021,73.883,0,0,1794605056,64835272704,82976768,593625088,0,0,0,0,94539219,48045360,1252,1190,1221,24876,29824,0,3221221376,10,489,0,0,0
01-10 16:48:35,22.931,3.222,73.847,0,0,1795678208,64834199552,82976768,593625088,0,0,0,0,97064910,49327144,1337,1085,1338,25535,29133,0,3221221376,10,489,0,0,0
01-10 16:48:36,23.478,2.888,73.635,0,0,1796722688,64833155072,82976768,593625088,0,0,0,0,95622230,48599131,1337,1058,1221,25331,29487,0,3221221376,10,489,0,0,0
01-10 16:48:37,22.730,3.569,73.638,0.063,0,1797132288,64832741376,82984960,593620992,0,1474560,0,286,91553376,46571084,1262,1088,1196,24469,28725,0,3221221376,10,489,0,0,0
01-10 16:48:38,10.208,1.260,88.532,0,0,1788936192,64840908800,82984960,593649664,0,0,0,0,39722481,20114267,584,462,498,11962,14916,0,3221221376,10,9,0,480,0
01-10 16:48:39,0.062,0.125,99.812,0,0,1788936192,64840908800,82984960,593649664,0,0,0,0,298,860,1,0,0,102,183,0,3221221376,10,9,0,480,0
01-10 16:48:40,0,0.125,99.875,0,0,1788936192,64840908800,82984960,593649664,0,0,0,0,425,716,0,0,0,82,143,0,3221221376,10,9,0,480,0
01-10 16:48:41,0.062,0.125,99.812,0,0,1788936192,64840908800,82984960,593649664,0,0,0,0,725,1704,0,0,0,87,150,0,3221221376,10,9,0,480,0
01-10 16:48:42,0,0.188,99.812,0,0,1788932096,64840908800,82993152,593645568,0,221184,0,16,477,836,0,0,0,98,157,0,3221221376,10,9,0,480,0
01-10 16:48:43,0,0.188,99.812,0,0,1788923904,64840908800,82993152,593653760,0,0,0,0,306,622,0,0,0,125,216,0,3221221376,10,9,0,480,0
01-10 16:48:44,0,0.125,99.875,0,0,1788923904,64840908800,82993152,593653760,0,0,0,0,545,1212,0,0,0,83,135,0,3221221376,10,9,0,480,0
01-10 16:48:45,0.062,0.125,99.812,0,0,1788923904,64840908800,82993152,593653760,0,0,0,0,298,836,0,0,0,80,141,0,3221221376,10,9,0,480,0
01-10 16:48:46,0,0.125,99.875,0,0,1788923904,64840908800,82993152,593653760,0,0,0,0,365,606,0,0,0,81,137,0,3221221376,10,9,0,480,0
01-10 16:48:47,0.062,0.125,99.812,0,0,1788923904,64840908800,82993152,593653760,0,0,0,0,366,606,0,0,0,100,173,0,3221221376,10,9,0,480,0
01-10 16:48:48,9.142,1.503,89.292,0.063,0,987369472,65636569088,82997248,599535616,0,24576,0,4,640,718,0,0,0,883,461,0,3221221376,10,9,0,480,0
01-10 16:48:49,0.062,0.125,99.812,0,0,987369472,65636569088,82997248,599535616,0,0,0,0,753,852,0,0,0,89,156,0,3221221376,10,9,0,480,0
01-10 16:48:50,0,0.125,99.875,0,0,987369472,65636569088,82997248,599535616,0,0,0,0,820,606,0,0,0,88,147,0,3221221376,10,9,0,480,0
01-10 16:48:51,0.062,0.125,99.812,0,0,987369472,65636569088,82997248,599535616,0,0,0,0,426,606,0,0,0,101,169,0,3221221376,10,9,0,480,0
01-10 16:48:52,0,0.125,99.875,0,0,987369472,65636569088,82997248,599535616,0,12173312,0,214,717,836,0,0,0,195,160,0,3221221376,10,9,0,480,0
01-10 16:48:53,0.063,0.188,99.750,0,0,987926528,65636012032,82997248,599535616,0,0,0,0,1667,2533,0,0,0,202,220,0,3221221376,10,10,0,480,0
01-10 16:48:54,0.062,0.188,99.750,0,0,987541504,65636392960,83001344,599535616,0,335872,0,4,1291,1371,0,0,0,203,225,0,3221221376,10,9,0,480,0
01-10 16:48:55,1.563,0.625,97.811,0,0,989421568,65634512896,83001344,599535616,0,0,0,0,6045,52101,0,0,0,930,775,0,3221221376,10,10,0,480,0
01-10 16:48:56,0.063,0.125,99.812,0,0,988172288,65635762176,83001344,599543808,0,0,0,0,23809,689800,0,0,0,557,222,0,3221221376,10,10,0,480,0
01-10 16:48:57,0.188,0.188,99.625,0,0,988585984,65635348480,83001344,599543808,0,0,0,0,57712,1795940,0,0,0,1343,437,0,3221221376,10,10,0,480,0
01-10 16:48:58,0.188,0.125,99.687,0,0,988413952,65635520512,83001344,599543808,0,0,0,0,77338,2032802,0,0,0,1508,481,0,3221221376,10,10,0,480,0
01-10 16:48:59,0.188,0.250,99.500,0.063,0,986636288,65637298176,83005440,599535616,0,98304,0,4,60358,1587893,0,0,0,1386,661,0,3221221376,10,9,0,480,0
01-10 16:49:00,0,0.125,99.875,0,0,986632192,65637298176,83005440,599535616,0,0,0,0,888,622,0,0,0,105,165,0,3221221376,10,9,0,480,0
01-10 16:49:01,0,0.187,99.813,0,0,986632192,65637298176,83005440,599535616,0,0,0,0,306,606,0,0,0,80,141,0,3221221376,10,9,0,480,0
01-10 16:49:02,0.062,0.125,99.812,0,0,986632192,65637298176,83005440,599535616,0,0,0,0,597,836,0,0,0,88,143,0,3221221376,10,9,0,480,0
01-10 16:49:03,0,0.125,99.875,0,0,986632192,65637298176,83005440,599535616,0,0,0,0,306,606,0,0,0,121,208,0,3221221376,10,9,0,480,0
01-10 16:49:04,0,0.125,99.875,0,0,986632192,65637298176,83005440,599535616,0,0,0,0,640,606,0,0,0,85,145,0,3221221376,10,9,0,480,0
01-10 16:49:05,1.752,0.501,97.747,0,0,992886784,65631035392,83013632,599543808,0,73728,0,4,4618,4057,0,0,0,711,647,0,3221221376,10,10,0,480,0
01-10 16:49:06,0.375,0.250,99.375,0,0,986025984,65637978112,83013632,599453696,0,0,0,0,2129,2557,0,0,0,371,453,0,3221221376,10,9,0,480,0
01-10 16:49:07,0.062,0.125,99.812,0,0,986009600,65637994496,83013632,599453696,0,0,0,0,366,606,0,0,0,97,177,0,3221221376,10,9,0,480,0
01-10 16:49:08,0,0.125,99.875,0,0,986001408,65638002688,83013632,599453696,0,1638400,0,348,425,606,0,0,0,273,172,0,3221221376,10,9,0,480,0
01-10 16:49:09,0,0.125,99.875,0,0,985993216,65638010880,83013632,599453696,0,0,0,0,538,852,0,0,0,82,140,0,3221221376,10,9,0,480,0
01-10 16:49:10,0,0.125,99.875,0,0,985993216,65638010880,83013632,599453696,0,0,0,0,425,606,0,0,0,91,149,0,3221221376,10,9,0,480,0
01-10 16:49:11,0.062,0.125,99.812,0,0,985980928,65638010880,83025920,599453696,0,180224,0,4,306,606,0,0,0,110,180,0,3221221376,10,9,0,480,0
01-10 16:49:12,0,0.188,99.812,0,0,985976832,65638010880,83025920,599457792,0,0,0,0,777,852,0,0,0,91,143,0,3221221376,10,9,0,480,0
01-10 16:49:13,0.062,0.125,99.812,0,0,985976832,65638010880,83025920,599457792,0,0,0,0,306,606,0,0,0,100,176,0,3221221376,10,9,0,480,0
01-10 16:49:14,0,0.125,99.875,0,0,985976832,65638010880,83025920,599457792,0,0,0,0,425,606,0,0,0,81,139,0,3221221376,10,9,0,480,0
01-10 16:49:15,0,0.125,99.875,0,0,985976832,65638010880,83025920,599457792,0,0,0,0,418,836,0,0,0,99,171,0,3221221376,10,9,0,480,0
01-10 16:49:16,0.062,0.125,99.812,0,0,985976832,65638010880,83025920,599457792,0,0,0,0,545,606,0,0,0,84,137,0,3221221376,10,9,0,480,0
01-10 16:49:17,0,0.125,99.812,0.062,0,985968640,65638010880,83034112,599457792,0,57344,0,8,606,606,0,0,0,96,147,0,3221221376,10,9,0,480,0
01-10 16:49:18,0.062,0.125,99.812,0,0,985968640,65638010880,83034112,599457792,0,0,0,0,245,622,0,0,0,91,167,0,3221221376,10,9,0,480,0
01-10 16:49:19,0,0.125,99.875,0,0,985968640,65638010880,83034112,599457792,0,0,0,0,538,836,0,0,0,106,175,0,3221221376,10,9,0,480,0
01-10 16:49:20,0.062,0.125,99.812,0,0,985968640,65638010880,83034112,599457792,0,0,0,0,425,606,0,0,0,82,137,0,3221221376,10,9,0,480,0
01-10 16:49:21,0,0.250,99.750,0,0,986992640,65636986880,83034112,599457792,0,0,0,0,1941,2007,0,0,0,152,157,0,3221221376,10,10,0,480,0
01-10 16:49:22,1.316,0.439,98.246,0,0,987992064,65635987456,83034112,599465984,0,0,0,0,9683,4872,0,0,0,819,773,0,3221221376,10,10,0,480,0
01-10 16:49:23,0.313,0.250,99.437,0,0,986869760,65637101568,83042304,599461888,0,122880,0,12,11931,5234,0,0,0,422,585,0,3221221376,10,10,0,480,0
01-10 16:49:24,1.190,0.751,98.059,0,0,986587136,65637384192,83042304,599457792,0,0,0,0,24210,4498,0,0,0,1045,915,0,3221221376,10,10,0,480,0
01-10 16:49:25,1.377,0.688,97.935,0,0,986279936,65643577344,83042304,593575936,0,0,0,0,7536,7212,0,0,0,995,916,0,3221221376,10,10,0,480,0
01-10 16:49:26,1.689,0.563,97.749,0,0,985780224,65644077056,83042304,593571840,0,0,0,0,4557,4513,0,0,0,956,896,0,3221221376,10,9,0,480,0
01-10 16:49:27,0.125,0.187,99.688,0,0,986247168,65643610112,83042304,593571840,0,0,0,0,2462,2073,0,0,0,192,220,0,3221221376,10,10,0,480,0
01-10 16:49:28,29.725,13.955,56.258,0.063,0,1170165760,65459679232,83054592,593580032,0,2662400,0,484,3939,4285,0,0,0,2913,905897,0,3221221376,10,9,0,480,0
01-10 16:49:29,90.682,3.752,5.566,0,0,1877958656,64751845376,83054592,593620992,0,0,0,0,790,1986,0,0,0,5684,7588,0,3221221376,10,9,0,480,0
01-10 16:49:30,0.062,0.125,99.812,0,0,1878974464,64750829568,83054592,593620992,0,0,0,0,708,672,0,0,0,93,176,0,3221221376,10,9,0,480,0
01-10 16:49:31,0,0.125,99.875,0,0,1878974464,64750829568,83054592,593620992,0,0,0,0,66,606,0,0,0,93,171,0,3221221376,10,9,0,480,0
01-10 16:49:32,0,0.125,99.875,0,0,1878974464,64750829568,83054592,593620992,0,0,0,0,537,836,0,0,0,88,147,0,3221221376,10,9,0,480,0
01-10 16:49:33,0.063,0.125,99.812,0,0,1878966272,64750829568,83062784,593620992,0,352256,0,34,186,606,0,0,0,114,192,0,3221221376,10,9,0,480,0
01-10 16:49:34,1.063,0.438,98.499,0,0,1880616960,64749178880,83062784,593620992,0,0,0,0,13761,24453,13,12,22,887,5088,0,3221221376,10,415,3,711,0
01-10 16:49:35,22.852,2.864,74.284,0,0,1917218816,64712507392,83062784,593657856,0,0,0,0,82811940,42349081,1312,1355,1382,24060,43763,0,3221221376,10,649,0,480,0
01-10 16:49:36,24.265,3.002,72.733,0,0,1922777088,64706949120,83062784,593657856,0,0,0,0,96488717,49046828,1392,1473,1495,25479,31846,0,3221221376,10,649,0,480,0
01-10 16:49:37,25.221,2.837,71.942,0,0,1926422528,64703303680,83062784,593657856,0,0,0,0,101612910,51661609,1515,1542,1537,27262,33183,0,3221221376,10,649,0,480,0
01-10 16:49:38,25.734,2.811,71.455,0,0,1930043392,64699682816,83062784,593657856,0,0,0,0,102724689,52190740,1507,1547,1481,26897,33445,0,3221221376,10,649,0,0,0
01-10 16:49:39,25.391,3.252,71.357,0,0,1932668928,64697049088,83070976,593657856,0,163840,0,18,102986126,52348631,1566,1557,1489,27425,32829,0,3221221376,10,649,0,0,0
01-10 16:49:40,25.379,2.778,71.843,0,0,1935081472,64694636544,83070976,593657856,0,0,0,0,102282015,51990419,1491,1523,1632,27782,33108,0,3221221376,10,649,0,0,0
01-10 16:49:41,25.721,3.199,71.079,0,0,1937629184,64692084736,83070976,593661952,0,0,0,0,104913573,53314595,1548,1532,1556,27535,33840,0,3221221376,10,649,0,0,0
01-10 16:49:42,24.279,3.199,72.522,0,0,1938919424,64690794496,83070976,593661952,0,0,0,0,97651911,49636764,1484,1428,1459,25992,32078,0,3221221376,10,649,0,0,0
01-10 16:49:43,25.489,3.407,71.104,0,0,1941110784,64688603136,83070976,593661952,0,0,0,0,107557318,54660170,1637,1622,1621,28305,34552,0,3221221376,10,649,0,0,0
01-10 16:49:44,24.083,3.287,72.630,0,0,1943060480,64686653440,83070976,593661952,0,0,0,0,100498577,51081997,1531,1533,1527,26388,33235,0,3221221376,10,649,0,0,0
01-10 16:49:45,24.952,2.540,72.444,0.063,0,1944444928,64685260800,83079168,593661952,0,65536,0,8,101355850,51518477,1489,1574,1470,26613,32632,0,3221221376,10,649,0,0,0
01-10 16:49:46,24.258,3.285,72.457,0,0,1945612288,64684093440,83079168,593661952,0,0,0,0,99598210,50636306,1503,1571,1524,26615,33140,0,3221221376,10,649,0,0,0
01-10 16:49:47,25.220,3.145,71.635,0,0,1947652096,64682053632,83079168,593661952,0,0,0,0,101559160,51621600,1524,1454,1512,26805,33461,0,3221221376,10,649,0,0,0
01-10 16:49:48,25.316,2.904,71.780,0,0,1949364224,64680341504,83079168,593661952,0,0,0,0,104234755,52952789,1478,1467,1514,26913,33365,0,3221221376,10,649,0,0,0
01-10 16:49:49,24.573,2.533,72.894,0,0,1950793728,64678912000,83079168,593661952,0,0,0,0,100743174,51184061,1448,1475,1541,26251,31929,0,3221221376,10,649,0,0,0
01-10 16:49:50,24.459,2.484,73.057,0,0,1952096256,64677609472,83079168,593661952,0,0,0,0,101523005,51597738,1499,1516,1552,26851,32647,0,3221221376,10,649,0,0,0
01-10 16:49:51,24.591,3.333,72.075,0,0,1954181120,64675516416,83087360,593661952,0,24576,0,4,102570112,52108022,1520,1564,1445,27026,32663,0,3221221376,10,649,0,0,0
01-10 16:49:52,24.279,3.701,72.020,0,0,1955483648,64674213888,83087360,593661952,0,0,0,0,101396605,51521144,1477,1463,1447,26584,32048,0,3221221376,10,649,0,0,0
01-10 16:49:53,24.843,2.949,72.208,0,0,1956593664,64673103872,83087360,593661952,0,0,0,0,99336025,50496720,1443,1499,1487,26378,31923,0,3221221376,10,649,0,0,0
01-10 16:49:54,25.770,2.891,71.339,0,0,1957388288,64672309248,83087360,593661952,0,0,0,0,103269771,52501021,1559,1526,1655,27556,33504,0,3221221376,10,649,0,0,0
01-10 16:49:55,24.401,3.657,71.942,0,0,1958535168,64671162368,83087360,593661952,0,0,0,0,103192288,52429046,1582,1556,1507,27130,33887,0,3221221376,10,649,0,0,0
01-10 16:49:56,25.426,2.713,71.861,0,0,1959325696,64670371840,83087360,593661952,0,0,0,0,103001755,52358372,1505,1544,1497,27121,34013,0,3221221376,10,649,0,0,0
01-10 16:49:57,26.746,3.210,70.044,0,0,1960607744,64668250112,83095552,594493440,0,24576,0,4,101420448,51580840,1523,1552,1517,27091,35899,0,3221221376,10,629,0,19,1
01-10 16:49:58,3.890,0.816,95.295,0,0,1944240128,64684466176,83095552,594677760,0,0,0,0,14327049,7199589,246,243,244,6134,9330,0,3221221376,10,11,0,637,1
01-10 16:49:59,0.062,0.125,99.812,0,0,1944240128,64684466176,83095552,594677760,0,2064384,0,16,358,860,0,0,0,113,182,0,3221221376,10,11,0,637,1
01-10 16:50:00,0,0.188,99.812,0,0,1944240128,64684466176,83095552,594677760,0,0,0,0,768,622,0,0,0,90,149,0,3221221376,10,11,0,637,1
01-10 16:50:01,0.062,0.125,99.812,0,0,1944240128,64684466176,83095552,594677760,0,0,0,0,426,606,0,0,0,81,139,0,3221221376,10,11,0,637,1
01-10 16:50:02,0.063,0.188,99.687,0.063,0,1943937024,64684761088,83103744,594677760,0,270336,0,10,1256,1100,0,0,0,208,275,0,3221221376,10,9,0,637,3
01-10 16:50:03,0.062,0.188,99.750,0,0,1943920640,64684777472,83103744,594677760,0,0,0,0,580,622,0,0,0,123,230,0,3221221376,10,9,0,637,3
01-10 16:50:04,0,0.125,99.875,0,0,1943920640,64684777472,83103744,594677760,0,311296,0,64,485,606,0,0,0,112,131,0,3221221376,10,9,0,637,3
01-10 16:50:05,0.062,0.125,99.812,0,0,1943920640,64684777472,83103744,594677760,0,0,0,0,418,852,0,0,0,81,135,0,3221221376,10,9,0,637,3
01-10 16:50:06,0.062,0.125,99.812,0,0,1943920640,64684777472,83103744,594677760,0,0,0,0,485,606,0,0,0,72,113,0,3221221376,10,9,0,637,3
01-10 16:50:07,0,0.125,99.875,0,0,1943912448,64684777472,83111936,594677760,0,98304,0,4,641,606,0,0,0,111,181,0,3221221376,10,9,0,637,3
01-10 16:50:08,10.075,1.877,88.048,0,0,987504640,65634934784,83111936,600920064,0,0,0,0,700,734,0,0,0,990,463,0,3221221376,10,9,0,637,3
01-10 16:50:09,0,0.125,99.750,0.125,0,987504640,65634934784,83111936,600920064,0,13058048,0,250,1138,896,0,0,0,217,155,0,3221221376,10,9,0,637,3
01-10 16:50:10,0.062,0.125,99.812,0,0,987504640,65634934784,83111936,600920064,0,0,0,0,425,622,0,0,0,80,141,0,3221221376,10,9,0,637,3
01-10 16:50:11,0,0.125,99.875,0,0,987504640,65634934784,83111936,600920064,0,0,0,0,486,606,0,0,0,100,168,0,3221221376,10,9,0,637,3
01-10 16:50:12,0,0.188,99.812,0,0,987504640,65634934784,83111936,600920064,0,0,0,0,717,836,0,0,0,84,135,0,3221221376,10,9,0,637,3
01-10 16:50:13,1.752,0.563,97.622,0.063,0,988962816,65633468416,83120128,600915968,0,360448,0,6,4853,4763,0,0,0,902,724,0,3221221376,10,10,0,637,3
01-10 16:50:14,0.188,0.188,99.625,0,0,988299264,65634131968,83120128,600928256,0,0,0,0,50277,1572864,0,0,0,1122,426,0,3221221376,10,10,0,637,3
01-10 16:50:15,0.313,0.188,99.500,0,0,988430336,65634000896,83120128,600928256,0,0,0,0,83738,2338706,0,0,0,1687,544,0,3221221376,10,10,0,637,3
01-10 16:50:16,0.313,0.188,99.499,0,0,986288128,65636143104,83128320,600915968,0,131072,0,6,123097,2614981,0,0,0,2135,751,0,3221221376,10,9,0,637,3
01-10 16:50:17,0,0.188,99.812,0,0,986447872,65635975168,83128320,600920064,0,0,0,0,450,1720,0,0,0,86,136,0,3221221376,10,9,0,637,3
01-10 16:50:18,0.062,0.125,99.812,0,0,986431488,65635991552,83128320,600920064,0,0,0,0,485,606,0,0,0,94,161,0,3221221376,10,9,0,637,3
01-10 16:50:19,0.062,0.125,99.812,0,0,986423296,65635999744,83128320,600920064,0,0,0,0,538,836,0,0,0,102,173,0,3221221376,10,9,0,637,3
01-10 16:50:20,0,0.188,99.812,0,0,986423296,65635999744,83128320,600920064,0,0,0,0,665,606,0,0,0,83,133,0,3221221376,10,9,0,637,3
01-10 16:50:21,0,0.125,99.875,0,0,986423296,65635999744,83128320,600920064,0,0,0,0,66,606,0,0,0,72,132,0,3221221376,10,9,0,637,3
01-10 16:50:22,1.502,0.563,97.935,0,0,988962816,65633452032,83136512,600924160,0,73728,0,4,4342,4057,0,0,0,750,654,0,3221221376,10,10,0,637,3
01-10 16:50:23,0.125,0.250,99.625,0,0,986632192,65636880384,83136512,599822336,0,0,0,0,1530,2491,0,0,0,400,462,0,3221221376,10,9,0,637,3
01-10 16:50:24,0,0.125,99.875,0,0,986632192,65636880384,83136512,599822336,0,0,0,0,545,606,0,0,0,80,127,0,3221221376,10,9,0,637,3
01-10 16:50:25,0,0.188,99.812,0,0,986632192,65636880384,83136512,599822336,0,0,0,0,658,896,0,0,0,85,138,0,3221221376,10,9,0,637,3
01-10 16:50:26,0.062,0.125,99.812,0,0,986632192,65636880384,83136512,599822336,0,0,0,0,425,606,0,0,0,94,149,0,3221221376,10,9,0,637,3
01-10 16:50:27,0,0.125,99.875,0,0,986632192,65636880384,83136512,599822336,0,0,0,0,546,606,0,0,0,100,167,0,3221221376,10,9,0,637,3
01-10 16:50:28,0.062,0.125,99.750,0.062,0,986591232,65636913152,83144704,599822336,0,204800,0,6,746,606,0,0,0,119,191,0,3221221376,10,9,0,637,3
01-10 16:50:29,0,0.188,99.812,0,0,986591232,65636913152,83144704,599822336,0,0,0,0,418,852,0,0,0,90,144,0,3221221376,10,9,0,637,3
01-10 16:50:30,0,0.125,99.875,0,0,986591232,65636913152,83144704,599822336,0,0,0,0,768,606,0,0,0,94,158,0,3221221376,10,9,0,637,3
01-10 16:50:31,0.063,0.063,99.875,0,0,986591232,65636913152,83144704,599822336,0,0,0,0,581,606,0,0,0,100,169,0,3221221376,10,9,0,637,3
01-10 16:50:32,0.062,0.187,99.750,0,0,986583040,65636921344,83144704,599822336,0,0,0,0,657,836,0,0,0,86,135,0,3221221376,10,9,0,637,3
01-10 16:50:33,0,0.125,99.875,0,0,986583040,65636921344,83144704,599822336,0,0,0,0,366,606,0,0,0,100,162,0,3221221376,10,9,0,637,3
01-10 16:50:34,0.062,0.188,99.750,0,0,986574848,65636921344,83152896,599822336,0,24576,0,4,485,606,0,0,0,91,143,0,3221221376,10,9,0,637,3
01-10 16:50:35,0,0.125,99.875,0,0,986574848,65636921344,83152896,599822336,0,0,0,0,418,852,0,0,0,99,169,0,3221221376,10,9,0,637,3
01-10 16:50:36,0.062,0.187,99.750,0,0,986574848,65636921344,83152896,599822336,0,0,0,0,365,606,0,0,0,79,131,0,3221221376,10,9,0,637,3
01-10 16:50:37,0,0.125,99.875,0,0,986574848,65636921344,83152896,599822336,0,0,0,0,186,606,0,0,0,73,129,0,3221221376,10,9,0,637,3
