


"Host:","node-32.36-intel-s-cloud.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output dstatoutput_load_gen_real.csv",,,,"Date:","01 Oct 2019 16:45:28 MDT"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","77","78","79","int","csw","used","free","lis","act","syn","tim","clo"
01-10 16:46:01,0,0.125,99.875,0,0,1465245696,65165017088,82661376,593563648,0,0,0,0,246,622,0,0,0,80,147,0,3221221376,10,9,0,160,0
01-10 16:46:02,0,0.063,99.937,0,0,1465245696,65165017088,82661376,593563648,0,0,0,0,777,836,0,0,0,94,155,0,3221221376,10,9,0,160,0
01-10 16:46:03,0.062,0.125,99.812,0,0,1465245696,65165017088,82661376,593563648,0,188416,0,36,366,710,0,0,0,144,238,0,3221221376,10,9,0,160,0
01-10 16:46:04,0,0.063,99.937,0,0,1465245696,65165017088,82661376,593563648,0,0,0,0,611,724,0,0,0,92,151,0,3221221376,10,9,0,160,0
01-10 16:46:05,8.636,1.252,90.113,0,0,986738688,65639260160,82661376,597819392,0,0,0,0,778,948,0,0,0,873,413,0,3221221376,10,9,0,160,0
01-10 16:46:06,0.062,0.125,99.750,0.062,0,986791936,65639202816,82665472,597819392,0,8863744,0,124,425,606,0,0,0,145,164,0,3221221376,10,9,0,160,0
01-10 16:46:07,0,0.063,99.937,0,0,986791936,65639202816,82665472,597819392,0,0,0,0,306,622,0,0,0,110,199,0,3221221376,10,9,0,160,0
01-10 16:46:08,0.062,0.062,99.875,0,0,986775552,65639219200,82665472,597819392,0,0,0,0,657,896,0,0,0,103,180,0,3221221376,10,9,0,160,0
01-10 16:46:09,0,0.125,99.875,0,0,986767360,65639227392,82665472,597819392,0,0,0,0,948,606,0,0,0,94,158,0,3221221376,10,9,0,160,0
01-10 16:46:10,0,0.063,99.937,0,0,986767360,65639227392,82665472,597819392,0,0,0,0,485,935,0,0,0,92,152,0,3221221376,10,9,0,160,0
01-10 16:46:11,0.062,0.125,99.812,0,0,986767360,65639227392,82665472,597819392,0,0,0,0,828,606,0,0,0,143,212,0,3221221376,10,9,0,160,0
01-10 16:46:12,0,0.063,99.937,0,0,986767360,65639227392,82665472,597819392,0,24576,0,4,1158,836,0,0,0,112,173,0,3221221376,10,9,0,160,0
01-10 16:46:13,0.062,0.125,99.813,0,0,986767360,65639227392,82665472,597819392,0,0,0,0,246,622,0,0,0,104,183,0,3221221376,10,9,0,160,0
01-10 16:46:14,0,0.125,99.875,0,0,986767360,65639227392,82665472,597819392,0,0,0,0,425,606,0,0,0,84,147,0,3221221376,10,9,0,160,0
01-10 16:46:15,0,0.125,99.875,0,0,986767360,65639227392,82665472,597819392,0,0,0,0,933,1442,0,0,0,117,192,0,3221221376,10,9,0,160,0
01-10 16:46:16,0,0,100,0,0,986767360,65639227392,82665472,597819392,0,0,0,0,619,782,0,0,0,88,142,0,3221221376,10,9,1,160,0
01-10 16:46:17,0.250,0.250,99.500,0,0,988250112,65637744640,82665472,597819392,0,0,0,0,5268,6734,0,0,0,293,297,0,3221221376,10,11,0,160,0
01-10 16:46:18,1.376,0.813,97.749,0.063,0,987742208,65638248448,82669568,597827584,0,49152,0,4,40837,1304875,0,0,0,1661,901,0,3221221376,10,10,0,160,0
01-10 16:46:19,0.188,0.125,99.687,0,0,987877376,65638113280,82669568,597827584,0,0,0,0,95248,2605014,0,0,0,1773,609,0,3221221376,10,10,0,160,0
01-10 16:46:20,0.125,0.063,99.812,0,0,986288128,65639702528,82669568,597819392,0,0,0,0,29297,544049,0,0,0,648,468,0,3221221376,10,9,0,160,0
01-10 16:46:21,0,0.125,99.875,0,0,986284032,65639702528,82669568,597823488,0,0,0,0,186,606,0,0,0,79,149,0,3221221376,10,9,0,160,0
01-10 16:46:22,0,0.125,99.875,0,0,986284032,65639702528,82669568,597823488,0,0,0,0,597,836,0,0,0,90,156,0,3221221376,10,9,0,160,0
01-10 16:46:23,0,0.125,99.875,0,0,986275840,65639702528,82677760,597823488,0,139264,0,8,648,606,0,0,0,144,242,0,3221221376,10,9,0,160,0
01-10 16:46:24,0.063,0.063,99.875,0,0,986021888,65639956480,82677760,597823488,0,0,0,0,1167,1154,0,0,0,170,207,0,3221221376,10,9,0,161,0
01-10 16:46:25,0.188,0.125,99.688,0,0,986734592,65639243776,82677760,597823488,0,0,0,0,2991,3173,0,0,0,191,206,0,3221221376,10,10,0,161,0
01-10 16:46:26,1.124,0.874,98.001,0,0,986128384,65639878656,82677760,597794816,0,0,0,0,3521,3425,0,0,0,943,856,0,3221221376,10,9,0,161,0
01-10 16:46:27,0.063,0.063,99.875,0,0,986128384,65639878656,82677760,597794816,0,0,0,0,186,809,0,0,0,128,207,0,3221221376,10,9,0,161,0
01-10 16:46:28,0,0.125,99.875,0,0,986103808,65639903232,82677760,597794816,0,0,0,0,597,836,0,0,0,102,187,0,3221221376,10,9,0,161,0
01-10 16:46:29,0,0.125,99.875,0,0,986095616,65639903232,82685952,597794816,0,303104,0,10,306,606,0,0,0,101,159,0,3221221376,10,9,0,161,0
01-10 16:46:30,0.250,0.188,99.437,0.125,0,985833472,65640148992,82702336,597794816,0,548864,0,28,2934,1775,0,0,0,363,453,0,3221221376,10,9,0,162,0
01-10 16:46:31,0.062,0.062,99.875,0,0,985960448,65640022016,82702336,597794816,0,0,0,0,828,622,0,0,0,119,192,0,3221221376,10,9,0,162,0
01-10 16:46:32,0.063,0.063,99.875,0,0,985952256,65640030208,82702336,597794816,0,0,0,0,597,836,0,0,0,98,166,0,3221221376,10,9,0,162,0
01-10 16:46:33,0,0.063,99.937,0,0,985952256,65640030208,82702336,597794816,0,0,0,0,246,606,0,0,0,104,181,0,3221221376,10,9,0,162,0
01-10 16:46:34,0,0.125,99.875,0,0,985944064,65640038400,82702336,597794816,0,8192,0,2,880,606,0,0,0,99,157,0,3221221376,10,9,0,162,0
01-10 16:46:35,0.062,0.062,99.875,0,0,985944064,65640038400,82702336,597794816,0,0,0,0,538,852,0,0,0,111,187,0,3221221376,10,9,0,162,0
01-10 16:46:36,0,0.063,99.875,0.063,0,985935872,65640038400,82710528,597794816,0,237568,0,4,545,606,0,0,0,95,158,0,3221221376,10,9,0,162,0
01-10 16:46:37,0,0.125,99.875,0,0,985935872,65640038400,82710528,597794816,0,0,0,0,366,622,0,0,0,84,143,0,3221221376,10,9,0,162,0
01-10 16:46:38,0,0.125,99.875,0,0,985935872,65640038400,82710528,597794816,0,0,0,0,777,836,0,0,0,104,177,0,3221221376,10,9,0,162,0
01-10 16:46:39,0,0.125,99.875,0,0,985927680,65640046592,82710528,597794816,0,1785856,0,342,366,606,0,0,0,260,184,0,3221221376,10,9,0,162,0
01-10 16:46:40,0.062,0.062,99.875,0,0,985927680,65640046592,82710528,597794816,0,0,0,0,245,622,0,0,0,85,149,0,3221221376,10,9,0,162,0
01-10 16:46:41,0,0.125,99.875,0,0,986435584,65639538688,82710528,597794816,0,0,0,0,1327,853,0,0,0,160,165,0,3221221376,10,10,0,162,0
01-10 16:46:42,1.754,0.376,97.870,0,0,987299840,65638662144,82718720,597807104,0,24576,0,4,9828,5654,0,0,0,918,794,0,3221221376,10,10,0,162,0
01-10 16:46:43,0.125,0.125,99.750,0,0,986574848,65639387136,82718720,597807104,0,0,0,0,12976,3669,0,0,0,334,572,0,3221221376,10,9,1,162,0
01-10 16:46:44,2.004,0.438,97.558,0,0,986222592,65639739392,82718720,597807104,0,0,0,0,26454,6230,0,0,0,1027,927,0,3221221376,10,9,1,162,0
01-10 16:46:45,1.566,0.627,97.807,0,0,986034176,65644191744,82718720,593539072,0,0,0,0,5811,6058,0,0,0,1007,929,0,3221221376,10,9,0,162,0
01-10 16:46:46,1.191,0.564,98.245,0,0,986628096,65643597824,82718720,593539072,0,0,0,0,6224,5902,0,0,0,859,895,0,3221221376,10,9,0,162,0
01-10 16:46:47,0.125,0.062,99.812,0,0,985894912,65644331008,82718720,593534976,0,0,0,0,204,680,0,0,0,122,207,0,3221221376,10,9,1,162,0
01-10 16:46:48,19.587,12.891,67.522,0,0,1124802560,65505411072,82731008,593543168,0,483328,0,30,7835,7979,0,0,0,2287,920044,0,3221221376,10,10,0,162,0
01-10 16:46:49,58.595,3.639,37.767,0,0,1584607232,65045585920,82731008,593563648,0,8192,0,2,3868,16593,0,0,0,4445,5170,0,3221221376,10,9,0,162,0
01-10 16:46:50,0,0.063,99.937,0,0,1584607232,65045585920,82731008,593563648,0,0,0,0,820,622,0,0,0,100,163,0,3221221376,10,9,0,162,0
01-10 16:46:51,0.062,0.062,99.875,0,0,1584603136,65045585920,82731008,593567744,0,0,0,0,760,606,0,0,0,109,195,0,3221221376,10,9,0,162,0
01-10 16:46:52,0,0.063,99.937,0,0,1584603136,65045585920,82731008,593567744,0,0,0,0,537,836,0,0,0,88,154,0,3221221376,10,9,0,162,0
01-10 16:46:53,0,0.125,99.875,0,0,1584603136,65045585920,82731008,593567744,0,0,0,0,366,606,0,0,0,110,187,0,3221221376,10,9,0,162,0
01-10 16:46:54,8.296,1.393,90.247,0.063,0,1602600960,65027579904,82739200,593567744,0,311296,0,28,31271693,16038786,488,397,462,9164,22196,0,3221221376,10,329,0,162,0
01-10 16:46:55,22.636,2.396,74.968,0,0,1610096640,65020063744,82739200,593588224,0,950272,0,200,89003082,45259458,1239,935,1185,21681,25342,0,3221221376,10,329,0,162,0
01-10 16:46:56,22.362,2.575,75.063,0,0,1612161024,65017999360,82739200,593588224,0,0,0,0,87230417,44343145,1242,1026,1201,21577,25180,0,3221221376,10,329,0,162,0
01-10 16:46:57,22.229,2.977,74.794,0,0,1614798848,65015361536,82739200,593588224,0,0,0,0,89308608,45396786,1179,1063,1362,21735,25631,0,3221221376,10,329,0,2,0
01-10 16:46:58,21.786,2.597,75.617,0,0,1616379904,65013780480,82739200,593588224,0,0,0,0,88346881,44888876,1212,992,1295,21629,24857,0,3221221376,10,329,0,2,0
01-10 16:46:59,21.644,2.258,76.098,0,0,1618259968,65011900416,82739200,593588224,0,0,0,0,81586128,41466119,1139,958,1150,20394,22691,0,3221221376,10,329,0,2,0
01-10 16:47:00,22.028,3.004,74.969,0,0,1619259392,65010892800,82747392,593588224,0,147456,0,20,85258116,43321112,1074,1019,1241,21113,23545,0,3221221376,10,329,0,2,0
01-10 16:47:01,22.271,2.949,74.780,0,0,1620533248,65009618944,82747392,593588224,0,0,0,0,87022142,44256244,1179,1056,1209,21695,25110,0,3221221376,10,329,0,2,0
01-10 16:47:02,22.487,2.575,74.937,0,0,1621549056,65008603136,82747392,593588224,0,0,0,0,88165823,44788627,1240,1115,1219,21619,25254,0,3221221376,10,329,0,2,0
01-10 16:47:03,20.476,2.880,76.644,0,0,1622818816,65007333376,82747392,593588224,0,0,0,0,78068850,39682401,1071,920,1128,19541,22525,0,3221221376,10,329,0,2,0
01-10 16:47:04,22.487,2.701,74.812,0,0,1623199744,65006952448,82747392,593588224,0,0,0,0,85946057,43688596,1130,1010,1214,21196,24245,0,3221221376,10,329,0,2,0
01-10 16:47:05,21.509,3.082,75.409,0,0,1624526848,65005617152,82755584,593588224,0,40960,0,6,84780114,43090998,1078,994,1280,21058,23458,0,3221221376,10,329,0,2,0
01-10 16:47:06,22.081,2.665,75.254,0,0,1625821184,65004322816,82755584,593588224,0,0,0,0,88683651,45078279,1174,1013,1250,21763,25032,0,3221221376,10,329,0,2,0
01-10 16:47:07,22.502,2.891,74.607,0,0,1627037696,65003106304,82755584,593588224,0,0,0,0,87533992,44489089,1135,1125,1183,21595,24146,0,3221221376,10,329,0,2,0
01-10 16:47:08,21.711,2.490,75.798,0,0,1627570176,65002573824,82755584,593588224,0,0,0,0,88484607,44960127,1170,1021,1351,21672,24739,0,3221221376,10,329,0,2,0
