parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards,
3968,9946.53,348,766,32,direct,rf2_s32_,992
3968,10193.4,264,2269,32,direct,rf2_s4__,992
3968,14475.93,238,513,32,direct,rf3_s16_,992
3968,9097.13,383,932,32,direct,rf3_s32_,992
3968,14338.47,229,1306,32,direct,rf3_s4__,992
3968,14209.8,238,562,32,direct,rf4_s16_,992
3968,8436.53,409,1034,32,direct,rf4_s32_,992
3968,18956.33,166,1371,32,direct,rf4_s4__,992
3968,12286.4,266,715,32,direct,rf6_s16_,992
3968,7277.33,470,1374,32,direct,rf6_s32_,992
3968,26913.53,118,442,32,direct,rf6_s4__,992
4224,15847.33,225,480,32,direct,rf2_s16_,1056
4224,9626.93,370,827,32,direct,rf2_s32_,1056
4224,9435.87,306,2225,32,direct,rf2_s4__,1056
4224,14279.73,252,648,32,direct,rf3_s16_,1056
4224,8898.2,402,922,32,direct,rf3_s32_,1056
4224,14603.87,246,1217,32,direct,rf3_s4__,1056
4224,14224.87,251,634,32,direct,rf4_s16_,1056
4224,8697.47,423,978,32,direct,rf4_s32_,1056
4224,19560.13,187,636,32,direct,rf4_s4__,1056
4224,12609.13,282,755,32,direct,rf6_s16_,1056
4224,7306.87,506,1290,32,direct,rf6_s32_,1056
4224,27338.53,129,479,32,direct,rf6_s4__,1056
4480,16075.07,236,504,32,direct,rf2_s16_,1120
4480,9595.4,394,1016,32,direct,rf2_s32_,1120
4480,10218.67,323,2291,32,direct,rf2_s4__,1120
4480,14262.73,264,605,32,direct,rf3_s16_,1120
4480,9068.67,425,1037,32,direct,rf3_s32_,1120
4480,14346.6,236,2193,32,direct,rf3_s4__,1120
4480,14328.93,266,596,32,direct,rf4_s16_,1120
4480,8418.4,456,1063,32,direct,rf4_s32_,1120
4480,18180.13,168,1887,32,direct,rf4_s4__,1120
4480,12598.07,290,859,32,direct,rf6_s16_,1120
4480,7158.07,530,1162,32,direct,rf6_s32_,1120
4480,27449.93,136,529,32,direct,rf6_s4__,1120
4736,16000.27,248,524,32,direct,rf2_s16_,1184
4736,9628.93,417,964,32,direct,rf2_s32_,1184
