parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards,
2624,650.6,1065,616,8,solrj,rf4_s16_,656
2624,4908.93,164,2574,8,solrj,rf4_s2__,656
2624,615.4,464,258,8,solrj,rf4_s32_,656
2624,3822.6,196,1051,8,solrj,rf4_s4__,656
2624,1937.53,582,727,8,solrj,rf4_s8__,656
2624,1013.0,755,655,8,solrj,rf6_s16_,656
2624,5169.13,175,2456,8,solrj,rf6_s2__,656
2624,547.27,319,182,8,solrj,rf6_s32_,656
2624,1913.6,1059,533,8,solrj,rf6_s4__,656
2944,1423.07,822,338,8,solrj,rf2_s16_,736
2944,4150.0,406,1490,8,solrj,rf2_s4__,736
2944,1689.4,754,567,8,solrj,rf2_s8__,736
2944,677.87,1265,618,8,solrj,rf4_s16_,736
2944,5786.4,183,2286,8,solrj,rf4_s2__,736
2944,666.2,446,282,8,solrj,rf4_s32_,736
2944,6525.0,139,2498,8,solrj,rf4_s4__,736
2944,1747.07,895,760,8,solrj,rf4_s8__,736
2944,1184.2,566,460,8,solrj,rf6_s16_,736
2944,4286.2,275,1763,8,solrj,rf6_s2__,736
2944,691.67,466,129,8,solrj,rf6_s32_,736
2944,1992.27,920,917,8,solrj,rf6_s4__,736
3264,1425.2,946,415,8,solrj,rf2_s16_,816
3264,3641.47,649,1072,8,solrj,rf2_s4__,816
3264,1095.2,1926,853,8,solrj,rf2_s8__,816
3264,654.13,849,465,8,solrj,rf4_s16_,816
3264,5001.0,220,1937,8,solrj,rf4_s2__,816
3264,822.93,915,324,8,solrj,rf4_s32_,816
3264,4951.2,292,2044,8,solrj,rf4_s4__,816
3264,2344.87,818,744,8,solrj,rf4_s8__,816
3264,1004.87,263,415,8,solrj,rf6_s16_,816
3264,4170.6,384,1195,8,solrj,rf6_s2__,816
3264,695.07,504,306,8,solrj,rf6_s32_,816
3264,1965.33,1521,657,8,solrj,rf6_s4__,816
